edge_id,allocation_id,target_type,target_id,item,lexeme_id,sense_id,source_record_id,edge_type,from_story_id,to_story_id,from_island_id,to_island_id,route_class,required_evidence_class,productive_demand_rule,regional_policy,mastery_claim,curriculum_version,status,notes
REC-A1-000001,SEQ-A1-000009,GRAMMAR_UNIT,GRAM-A1-004,Formas de tratamiento nominales con Sr./Sra. y don/doña,,,,LOCAL_REUSE,A1-M01-I01-S1,A1-M01-I01-S3,A1-M01-I01,A1-M01-I01,CORE_OR_STRUCTURAL_ROUTE,REEXPOSURE_OR_RETRIEVAL,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000002,SEQ-A1-000009,GRAMMAR_UNIT,GRAM-A1-004,Formas de tratamiento nominales con Sr./Sra. y don/doña,,,,NEAR_TRANSFER,A1-M01-I01-S3,A1-M01-I02-S3,A1-M01-I01,A1-M01-I02,CORE_OR_STRUCTURAL_ROUTE,TRANSFER_IN_CHANGED_CONTEXT,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000003,SEQ-A1-000009,GRAMMAR_UNIT,GRAM-A1-004,Formas de tratamiento nominales con Sr./Sra. y don/doña,,,,DISTANT_RETURN,A1-M01-I02-S3,A1-M02-I01-S4,A1-M01-I02,A1-M02-I01,CORE_OR_STRUCTURAL_ROUTE,DELAYED_RETRIEVAL_OR_TERMINAL_INTEGRATION,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,"Scheduled four islands after first introduction; destination story is load-balanced. This is a curriculum spacing rule, not a universal optimal interval claim."
REC-A1-000004,SEQ-A1-000011,MWU_SOURCE_UNIT,12B1-MWU-0208,buenos días,,,12B1-MWU-0208,LOCAL_REUSE,A1-M01-I01-S1,A1-M01-I01-S3,A1-M01-I01,A1-M01-I01,CORE_OR_STRUCTURAL_ROUTE,REEXPOSURE_OR_RETRIEVAL,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000005,SEQ-A1-000011,MWU_SOURCE_UNIT,12B1-MWU-0208,buenos días,,,12B1-MWU-0208,NEAR_TRANSFER,A1-M01-I01-S3,A1-M01-I02-S3,A1-M01-I01,A1-M01-I02,CORE_OR_STRUCTURAL_ROUTE,TRANSFER_IN_CHANGED_CONTEXT,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000006,SEQ-A1-000011,MWU_SOURCE_UNIT,12B1-MWU-0208,buenos días,,,12B1-MWU-0208,DISTANT_RETURN,A1-M01-I02-S3,A1-M02-I01-S4,A1-M01-I02,A1-M02-I01,CORE_OR_STRUCTURAL_ROUTE,DELAYED_RETRIEVAL_OR_TERMINAL_INTEGRATION,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,"Scheduled four islands after first introduction; destination story is load-balanced. This is a curriculum spacing rule, not a universal optimal interval claim."
REC-A1-000007,SEQ-A1-000013,MWU_SOURCE_UNIT,12B1-MWU-0210,buenas noches,,,12B1-MWU-0210,LOCAL_REUSE,A1-M01-I01-S1,A1-M01-I01-S3,A1-M01-I01,A1-M01-I01,CORE_OR_STRUCTURAL_ROUTE,REEXPOSURE_OR_RETRIEVAL,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000008,SEQ-A1-000013,MWU_SOURCE_UNIT,12B1-MWU-0210,buenas noches,,,12B1-MWU-0210,NEAR_TRANSFER,A1-M01-I01-S3,A1-M01-I02-S3,A1-M01-I01,A1-M01-I02,CORE_OR_STRUCTURAL_ROUTE,TRANSFER_IN_CHANGED_CONTEXT,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
REC-A1-000009,SEQ-A1-000013,MWU_SOURCE_UNIT,12B1-MWU-0210,buenas noches,,,12B1-MWU-0210,DISTANT_RETURN,A1-M01-I02-S3,A1-M02-I01-S4,A1-M01-I02,A1-M02-I01,CORE_OR_STRUCTURAL_ROUTE,DELAYED_RETRIEVAL_OR_TERMINAL_INTEGRATION,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,"Scheduled four islands after first introduction; destination story is load-balanced. This is a curriculum spacing rule, not a universal optimal interval claim."
REC-A1-000010,SEQ-A1-000014,MWU_SOURCE_UNIT,12B1-MWU-0211,"hola, ¿qué tal?",,,12B1-MWU-0211,LOCAL_REUSE,A1-M01-I01-S1,A1-M01-I01-S3,A1-M01-I01,A1-M01-I01,CORE_OR_STRUCTURAL_ROUTE,REEXPOSURE_OR_RETRIEVAL,AS_OBJECT_POLICY_REQUIRES,,NONE,1.44,REQUIRED_SCHEDULE_EDGE_AUDITED,
