record_id,subphase,record_type,domain,source_section,source_phase,item,object_type,geographic_scope,a1_status,evidence_gate,baseline_action,crossref,notes,source_id,source_url,curriculum_version
10-0001,10-STRUCTURE,STRUCTURAL_RULE,Metodología,Introducciones PCIC-10/11,N/A,PCIC cultural phases are modular and do not map systematically to A1/A2/C levels,LEVELING_RULE,N/A,NOT_A_LEVEL_ASSERTION,STRUCTURAL,NO_LEXICAL_BASELINE_CHANGE,,PCIC-10/11 introductions,PCIC-10/11,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_introduccion.htm | https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/11_saberes_y_comportamientos_introduccion.htm,v1.25
10-0002,10-STRUCTURE,STRUCTURAL_RULE,Metodología,Introducciones PCIC-10/11,N/A,"Phase of approximation is a cultural sequencing pool, not an A1 level assertion",LEVELING_RULE,N/A,NOT_A_LEVEL_ASSERTION,STRUCTURAL,NO_LEXICAL_BASELINE_CHANGE,,PCIC-10/11 introductions,PCIC-10/11,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_introduccion.htm | https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/11_saberes_y_comportamientos_introduccion.htm,v1.25
10-0003,10-STRUCTURE,STRUCTURAL_RULE,Metodología,Introducciones PCIC-10/11,N/A,Referentes culturales covers Spain and Hispanic-American countries,GEOGRAPHIC_SCOPE_RULE,N/A,NOT_A_LEVEL_ASSERTION,STRUCTURAL,NO_LEXICAL_BASELINE_CHANGE,,PCIC-10 introduction,PCIC-10/11,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_introduccion.htm | https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/11_saberes_y_comportamientos_introduccion.htm,v1.25
10-0004,10-STRUCTURE,STRUCTURAL_RULE,Metodología,Introducciones PCIC-10/11,N/A,Saberes y comportamientos socioculturales describes Spain only in the PCIC first-level specification,GEOGRAPHIC_SCOPE_RULE,N/A,NOT_A_LEVEL_ASSERTION,STRUCTURAL,NO_LEXICAL_BASELINE_CHANGE,,PCIC-11 introduction,PCIC-10/11,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_introduccion.htm | https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/11_saberes_y_comportamientos_introduccion.htm,v1.25
10-0005,10-STRUCTURE,STRUCTURAL_RULE,Metodología,Introducciones PCIC-10/11,N/A,"Cultural examples, proper names, dishes, institutions and events do not become A1 lexemes by appearing in PCIC-10/11",LEXICAL_SEPARATION_RULE,N/A,NOT_A_LEVEL_ASSERTION,STRUCTURAL,NO_LEXICAL_BASELINE_CHANGE,,SpanishStories,PCIC-10/11,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_introduccion.htm | https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/11_saberes_y_comportamientos_introduccion.htm,v1.25
10-0006,10-STRUCTURE,STRUCTURAL_RULE,Metodología,Introducciones PCIC-10/11,N/A,A1 operational sociocultural minimum requires an independent A1 anchor such as CEFR/Functions/Pragmatics,A1_GATE_RULE,N/A,NOT_A_LEVEL_ASSERTION,STRUCTURAL,NO_LEXICAL_BASELINE_CHANGE,,SpanishStories,PCIC-10/11,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_introduccion.htm | https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/11_saberes_y_comportamientos_introduccion.htm,v1.25
10-0007,10-STRUCTURE,STRUCTURAL_RULE,Metodología,Introducciones PCIC-10/11,N/A,Habilidades y actitudes interculturales (PCIC-12) are deferred; they are a separate inventory and not silently merged into Phase 10,SCOPE_RULE,N/A,NOT_A_LEVEL_ASSERTION,STRUCTURAL,NO_LEXICAL_BASELINE_CHANGE,,PCIC plan,PCIC-10/11,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_introduccion.htm | https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/11_saberes_y_comportamientos_introduccion.htm,v1.25
10-0008,10-STRUCTURE,STRUCTURAL_RULE,Metodología,Introducciones PCIC-10/11,N/A,Cultural facts with high caducity require periodic editorial verification before publication,MAINTENANCE_RULE,N/A,NOT_A_LEVEL_ASSERTION,STRUCTURAL,NO_LEXICAL_BASELINE_CHANGE,,PCIC-10 accessibility/caducity criterion,PCIC-10/11,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_introduccion.htm | https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/11_saberes_y_comportamientos_introduccion.htm,v1.25
10-0009,10A,CULTURAL_APPROXIMATION_TOPIC,Geografía física,1.1.1 Climas,APPROXIMATION,estaciones y diferencias climáticas entre países hispanos,CULTURAL_KNOWLEDGE,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
10-0010,10A,CULTURAL_APPROXIMATION_TOPIC,Geografía física,1.1.1 Climas,APPROXIMATION,uso de escalas Celsius/Fahrenheit según el país,CULTURAL_CONVENTION,Spain + Hispanic America,NOT_A1_BY_ITSELF,PCIC_APPROXIMATION_MODULAR,NO_LEXICAL_BASELINE_CHANGE,,Approximation pool only; curricular level must be decided separately.,PCIC-10,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/10_referentes_culturales_inventario.htm,v1.25
