record_type,item,first_phase,phases,categories,notes
ATOMIC_FORM,a,6B,6B,Preposiciones,
ATOMIC_FORM,abierto,6B,6B,Adjetivos,
ATOMIC_FORM,abogado,6A,6A,Sustantivos,
ATOMIC_FORM,abrir,6B,6B,Verbos,
ATOMIC_FORM,abuelo,6A,6A,Sustantivos,
ATOMIC_FORM,acondicionado,6A,6A,Adjetivos,
ATOMIC_FORM,actividad,6A,6A,Sustantivos,
ATOMIC_FORM,actor,6A,6A,Sustantivos,
ATOMIC_FORM,actriz,6A,6A,Sustantivos,
ATOMIC_FORM,acá,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,adiós,6C,6C,Fórmulas/interjecciones/sustantivos funcionales,
ATOMIC_FORM,aeropuerto,6A,6A,Sustantivos,
ATOMIC_FORM,agua,6A,6A,Sustantivos,
ATOMIC_FORM,ahora,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,ahí,6D,6D,Adverbios gramaticales,
ATOMIC_FORM,aire,6A,6A,Sustantivos,
ATOMIC_FORM,al,6D,6D,Artículos/contracciones,
ATOMIC_FORM,alegre,6A,6A,Adjetivos,
ATOMIC_FORM,alemán,6A,6A,Adjetivos/sustantivos,
ATOMIC_FORM,allá,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,allí,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,alquilar,6A,6A,Verbos,
ATOMIC_FORM,alto,6A,6A,Adjetivos,
ATOMIC_FORM,amarillo,6B,6B,Adjetivos,
ATOMIC_FORM,amigo,6A,6A,Sustantivos,
ATOMIC_FORM,andar,6A,6A,Verbos,
ATOMIC_FORM,animal,6A,6A,Sustantivos,
ATOMIC_FORM,antes,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,antipático,6A,6A,Adjetivos,
ATOMIC_FORM,aparcamiento,6A,6A,Sustantivos,
ATOMIC_FORM,apartamento,6A,6A,Sustantivos,
ATOMIC_FORM,apellido,6A,6A,Sustantivos,
ATOMIC_FORM,aprender,6A,6A,Verbos,
ATOMIC_FORM,aquel,6C,6C,Funcionales,
ATOMIC_FORM,aquella,6D,6D,Demostrativos,
ATOMIC_FORM,aquellas,6D,6D,Demostrativos,
ATOMIC_FORM,aquello,6D,6D,Demostrativos,
ATOMIC_FORM,aquellos,6D,6D,Demostrativos,
ATOMIC_FORM,aquí,6B,6B,Adverbios/cuantificadores/marcadores,
ATOMIC_FORM,armario,6A,6A,Sustantivos,
ATOMIC_FORM,arroba,6A,6A,Sustantivos,
ATOMIC_FORM,ascensor,6A,6A,Sustantivos,
ATOMIC_FORM,autobús,6A,6A,Sustantivos,
