domain,item_type,item,source_level,status,action,notes
EDUCACION,ATOMIC_FORM,actividad,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,armario,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,biblioteca,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,bolígrafo,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,clase,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,compañero,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,diccionario,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,director,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,ejercicio,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,estantería,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,estudiante,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,examen,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,fotocopia,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,goma,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,horario,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,instituto,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,Internet,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,lección,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,libro,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,lápiz,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,mapa,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,mesa,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,ordenador,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,papel,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,pizarra,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,pregunta,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,profesor,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,página,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,silla,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,unidad,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,universidad,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,aprender,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,comprender,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,entender,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,escribir,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,escuchar,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,estudiar,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,hablar,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,hacer,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,ir,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,leer,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,practicar,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,repetir,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,saber,A1,PCIC_A1_PRESENT,KEEP,
EDUCACION,ATOMIC_FORM,tener,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,ATOMIC_FORM,abogado,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,ATOMIC_FORM,camarero,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,ATOMIC_FORM,director,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,ATOMIC_FORM,empresa,A1,PCIC_A1_PRESENT,KEEP,
TRABAJO,ATOMIC_FORM,fax,A1,PCIC_A1_PRESENT,KEEP,
