item,domain,external_source,explicit_a1,in_phase6_baseline,result,notes
desayuno,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
desayunar,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
comida,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
comer,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
merienda,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
merendar,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
cena,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
cenar,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
agua,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
beber,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
leche,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
té,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
café,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
cerveza,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
vino,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
carne,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
pescado,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
verdura,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
fruta,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
huevo,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
pan,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
bocadillo,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
sándwich,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
hamburguesa,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
sopa,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
ensalada,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
paella,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
tortilla,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
postre,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
bar,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
restaurante,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
camarero,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
mesa,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
menú,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
cuenta,alimentacion,Huete_Garcia_Nomdedeu_2018,yes,yes,A1_DOMAIN_CORROBORATED,External A1 domain corroboration; no automatic promotion.
