record_id,domain,item,item_type,pos,source_id,source_section,source_level,record_type,a1_core_status,evidence_gate,baseline_action,false_intuitive_a1,context_restriction,notes,source_url,curriculum_version
7BVI-0001,Individuo: dimensión física,barba,ATOMIC,NOUN,PCIC-09,1.1–1.2 Individuo: dimensión física,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
7BVI-0002,Individuo: dimensión física,bigote,ATOMIC,NOUN,PCIC-09,1.1–1.2 Individuo: dimensión física,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
7BVI-0003,Individuo: dimensión física,gafas,ATOMIC,NOUN,PCIC-09,1.1–1.2 Individuo: dimensión física,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
7BVI-0004,Individuo: dimensión física,nariz,ATOMIC,NOUN,PCIC-09,1.1–1.2 Individuo: dimensión física,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
7BVI-0005,Individuo: dimensión física,ojo,ATOMIC,NOUN,PCIC-09,1.1–1.2 Individuo: dimensión física,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
7BVI-0006,Individuo: dimensión física,pelo,ATOMIC,NOUN,PCIC-09,1.1–1.2 Individuo: dimensión física,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
7BVI-0007,Individuo: dimensión física,ducharse,ATOMIC,VERB,PCIC-09,1.2–1.3 Individuo: dimensión física,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,"Para llevar/ser/tener, la evidencia temática procede de patrones A1 concretos; no autoriza todos los sentidos/usos del verbo.",,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
7BVI-0008,Individuo: dimensión física,escuchar,ATOMIC,VERB,PCIC-09,1.2–1.3 Individuo: dimensión física,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,"Para llevar/ser/tener, la evidencia temática procede de patrones A1 concretos; no autoriza todos los sentidos/usos del verbo.",,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
7BVI-0009,Individuo: dimensión física,levantarse,ATOMIC,VERB,PCIC-09,1.2–1.3 Individuo: dimensión física,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,"Para llevar/ser/tener, la evidencia temática procede de patrones A1 concretos; no autoriza todos los sentidos/usos del verbo.",,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
7BVI-0010,Individuo: dimensión física,llevar,ATOMIC,VERB,PCIC-09,1.2–1.3 Individuo: dimensión física,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,"Para llevar/ser/tener, la evidencia temática procede de patrones A1 concretos; no autoriza todos los sentidos/usos del verbo.",,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
7BVI-0011,Individuo: dimensión física,ser,ATOMIC,VERB,PCIC-09,1.2–1.3 Individuo: dimensión física,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,"Para llevar/ser/tener, la evidencia temática procede de patrones A1 concretos; no autoriza todos los sentidos/usos del verbo.",,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
7BVI-0012,Individuo: dimensión física,tener,ATOMIC,VERB,PCIC-09,1.2–1.3 Individuo: dimensión física,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,"Para llevar/ser/tener, la evidencia temática procede de patrones A1 concretos; no autoriza todos los sentidos/usos del verbo.",,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
7BVI-0013,Individuo: dimensión física,alto,ATOMIC,ADJ,PCIC-09,1.2 Características físicas,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
7BVI-0014,Individuo: dimensión física,azul,ATOMIC,ADJ,PCIC-09,1.2 Características físicas,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
7BVI-0015,Individuo: dimensión física,bajo,ATOMIC,ADJ,PCIC-09,1.2 Características físicas,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
7BVI-0016,Individuo: dimensión física,blanco,ATOMIC,ADJ,PCIC-09,1.2 Características físicas,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
7BVI-0017,Individuo: dimensión física,claro,ATOMIC,ADJ,PCIC-09,1.2 Características físicas,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
7BVI-0018,Individuo: dimensión física,delgado,ATOMIC,ADJ,PCIC-09,1.2 Características físicas,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
7BVI-0019,Individuo: dimensión física,feo,ATOMIC,ADJ,PCIC-09,1.2 Características físicas,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
7BVI-0020,Individuo: dimensión física,gordo,ATOMIC,ADJ,PCIC-09,1.2 Características físicas,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
7BVI-0021,Individuo: dimensión física,grande,ATOMIC,ADJ,PCIC-09,1.2 Características físicas,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
7BVI-0022,Individuo: dimensión física,guapo,ATOMIC,ADJ,PCIC-09,1.2 Características físicas,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
7BVI-0023,Individuo: dimensión física,marrón,ATOMIC,ADJ,PCIC-09,1.2 Características físicas,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
7BVI-0024,Individuo: dimensión física,moreno,ATOMIC,ADJ,PCIC-09,1.2 Características físicas,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
7BVI-0025,Individuo: dimensión física,negro,ATOMIC,ADJ,PCIC-09,1.2 Características físicas,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
7BVI-0026,Individuo: dimensión física,oscuro,ATOMIC,ADJ,PCIC-09,1.2 Características físicas,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
7BVI-0027,Individuo: dimensión física,pequeño,ATOMIC,ADJ,PCIC-09,1.2 Características físicas,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
7BVI-0028,Individuo: dimensión física,rubio,ATOMIC,ADJ,PCIC-09,1.2 Características físicas,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.14
