record_id,domain,item,item_type,pos,source_id,source_section,source_level,record_type,a1_core_status,evidence_gate,baseline_action,false_intuitive_a1,context_restriction,notes,source_url,curriculum_version
7BV-0001,Ocio,baloncesto,ATOMIC,NOUN,PCIC-09,8. Ocio,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.13
7BV-0002,Ocio,bar,ATOMIC,NOUN,PCIC-09,8. Ocio,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.13
7BV-0003,Ocio,café,ATOMIC,NOUN,PCIC-09,8. Ocio,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.13
7BV-0004,Ocio,canción,ATOMIC,NOUN,PCIC-09,8. Ocio,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,"A1 en Ocio; para canción, la autorización A1 se conserva específicamente en el patrón escuchar una canción.",La misma forma aparece como unidad artística A2 en 18.2; conservar ambas SOURCE_ASSERTION.,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.13
7BV-0005,Ocio,cine,ATOMIC,NOUN,PCIC-09,8. Ocio,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.13
7BV-0006,Ocio,circo,ATOMIC,NOUN,PCIC-09,8. Ocio,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.13
7BV-0007,Ocio,compañero,ATOMIC,NOUN,PCIC-09,8. Ocio,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.13
7BV-0008,Ocio,concierto,ATOMIC,NOUN,PCIC-09,8. Ocio,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.13
7BV-0009,Ocio,deporte,ATOMIC,NOUN,PCIC-09,8. Ocio,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.13
7BV-0010,Ocio,discoteca,ATOMIC,NOUN,PCIC-09,8. Ocio,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.13
7BV-0011,Ocio,ejercicio,ATOMIC,NOUN,PCIC-09,8. Ocio,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.13
7BV-0012,Ocio,fútbol,ATOMIC,NOUN,PCIC-09,8. Ocio,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.13
7BV-0013,Ocio,gimnasia,ATOMIC,NOUN,PCIC-09,8. Ocio,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.13
7BV-0014,Ocio,información,ATOMIC,NOUN,PCIC-09,8. Ocio,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.13
7BV-0015,Ocio,juego,ATOMIC,NOUN,PCIC-09,8. Ocio,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.13
7BV-0016,Ocio,libro,ATOMIC,NOUN,PCIC-09,8. Ocio,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.13
7BV-0017,Ocio,museo,ATOMIC,NOUN,PCIC-09,8. Ocio,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.13
