record_id,surface_form,pos_provisional,a1_inclusion_status,source_layer,cognate_status,english_anchor,orthographic_similarity,orthographic_transparency,phonological_transparency_estimate,phonological_method,semantic_overlap,false_friend_risk,scaffold_recommended,changes_a1_membership,review_status,method_sources,notes,curriculum_version
COG-A1-001,a,PREP,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-002,abierto,ADJ,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-003,abogado,NOUN,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-004,abrir,VERB,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-005,abuelo,NOUN,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-006,acondicionado,ADJ,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-007,actividad,NOUN,A1_CORE_NORMATIVE,PCIC_BASE_A1,TRUE_COGNATE,activity,0.667,MEDIUM,LOW_PROVISIONAL,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,FULL,NONE,YES,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,,1.17
COG-A1-008,actor,NOUN,A1_CORE_NORMATIVE,PCIC_BASE_A1,TRUE_COGNATE,actor,1.0,VERY_HIGH,HIGH_PROVISIONAL,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,FULL,NONE,YES,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,,1.17
COG-A1-009,actriz,NOUN,A1_CORE_NORMATIVE,PCIC_BASE_A1,TRUE_COGNATE,actress,0.571,LOW,LOW_PROVISIONAL,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,FULL,NONE,YES,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,,1.17
COG-A1-010,acá,ADV_QUANT,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-011,adiós,FORMULA,A1_CORE_NORMATIVE,PCIC_BASE_A1,INTERNATIONALISM_OR_BORROWING,adios,1.0,VERY_HIGH,HIGH_PROVISIONAL,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,FULL,LOW,YES,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,Form is recognizable in English through borrowing/international use rather than a simple pedagogical cognate relation.,1.17
COG-A1-012,aeropuerto,NOUN,A1_CORE_NORMATIVE,PCIC_BASE_A1,PEDAGOGICAL_COGNATE_PARTIAL,airport,0.5,LOW,LOW_PROVISIONAL,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,PARTIAL,LOW,YES,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,"Useful cross-language similarity, but not fully transparent or not identical in everyday distribution.",1.17
COG-A1-013,agua,NOUN,A1_CORE_NORMATIVE,PCIC_BASE_A1,PEDAGOGICAL_COGNATE_PARTIAL,aqua,0.75,HIGH,MEDIUM_PROVISIONAL,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,PARTIAL,LOW,CONDITIONAL,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,"Cross-language similarity may be usable, but pedagogical value depends on English familiarity and the relevant sense.",1.17
COG-A1-014,ahora,ADV_QUANT,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-015,ahoy,ADV,A1_REGIONAL_RECEPTIVE,7C_REGIONAL_VARIATION,FALSE_FRIEND_OR_DECEPTIVE_OVERLAP,ahoy,1.0,VERY_HIGH,FORM_SIMILARITY_ONLY,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,DIVERGENT,HIGH,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,Exact form collision: regional Spanish temporal adverb vs English nautical interjection.,1.17
COG-A1-016,ahí,ADV_QUANT,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-017,aire,NOUN,A1_CORE_NORMATIVE,PCIC_BASE_A1,TRUE_COGNATE,air,0.75,HIGH,MEDIUM_PROVISIONAL,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,FULL,NONE,YES,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,,1.17
COG-A1-018,al,CONTRACTION,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-019,alegre,ADJ,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-020,alemán,ADJ_NOUN,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
COG-A1-021,allá,ADV_QUANT,A1_CORE_NORMATIVE,PCIC_BASE_A1,NO_OBVIOUS_PEDAGOGICAL_COGNATE_FIRST_PASS,,,NOT_ASSESSED,NOT_ASSESSED,EDITORIAL_QUALITATIVE_PROXY_NOT_IPA,NOT_ASSESSED,NONE_IDENTIFIED,NO,NO,FIRST_PASS_EDITORIAL_REVIEWED,CORP-08;SCI-23;SCI-24;SCI-25;SCI-26,No sufficiently transparent English form-meaning bridge identified in the first-pass editorial screen; this is not an etymological claim.,1.17
