record_id,source_id,family,title,source_role,curricular_status,primary_access_url,rights_holder_or_operator,license_or_terms_class,explicit_license,may_consult,may_cite,may_analyze_for_curriculum,raw_download,raw_internal_storage,derived_metadata_storage,commercial_product_data_use,source_content_redistribution,attribution_required,share_alike,noncommercial_restriction,no_derivatives_restriction,permission_required,provenance_risk,operational_decision,rights_evidence_url,rights_evidence_checked,notes,curriculum_version
7F-001,CEFR-01,CEFR,Common European Framework of Reference for Languages (2001),LEVEL_NORMATIVE,CORE / P0,https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-and-its-language-versions,Council of Europe,ALL_RIGHTS_RESERVED_PERMISSION_FOR_REPRODUCTION,NO_OPEN_LICENSE_VERIFIED,YES_IF_LAWFULLY_ACCESSED,YES_WITH_NORMAL_ACADEMIC_CITATION,YES_IF_LAWFULLY_ACCESSED,PUBLIC_DOCUMENT_DOWNLOAD_MAY_EXIST_REFERENCE_USE,REFERENCE_COPY_ONLY_NO_BULK_REPUBLICATION,YES_OWN_ANALYSIS_ONLY_NO_SUBSTANTIAL_REPRODUCTION,DERIVED_FACTS_AND_OWN_PARAPHRASE_ONLY; PERMISSION_FOR_REPRODUCTION,PRIOR_WRITTEN_PERMISSION_REQUIRED,YES,NO_OR_NOT_APPLICABLE,UNKNOWN_OR_NOT_APPLICABLE,UNKNOWN_OR_NOT_APPLICABLE,YES_FOR_REPRODUCE_REPUBLISH_TRANSLATE,HIGH,RESEARCH_NORMATIVE_REFERENCE_NOT_SHIPPABLE_SOURCE_CONTENT,https://www.coe.int/fr/web/portal/copyright-licensing-permissions,2026-08-28,"Council of Europe states prior written permission is required to reproduce, republish or translate publication/document elements. Use CEFR as normative evidence; do not ship descriptor text or large copied tables.",v1.19
7F-002,CEFR-02,CEFR,"Marco común europeo de referencia para las lenguas: aprendizaje, enseñanza, evaluación (traducción española)",LEVEL_NORMATIVE,CORE / P0,https://cvc.cervantes.es/ensenanza/biblioteca_ele/marco/indice.htm,Council of Europe / Instituto Cervantes (Spanish version),ALL_RIGHTS_RESERVED_PERMISSION_FOR_REPRODUCTION,NO_OPEN_LICENSE_VERIFIED,YES_IF_LAWFULLY_ACCESSED,YES_WITH_NORMAL_ACADEMIC_CITATION,YES_IF_LAWFULLY_ACCESSED,PUBLIC_DOCUMENT_DOWNLOAD_MAY_EXIST_REFERENCE_USE,REFERENCE_COPY_ONLY_NO_BULK_REPUBLICATION,YES_OWN_ANALYSIS_ONLY_NO_SUBSTANTIAL_REPRODUCTION,DERIVED_FACTS_AND_OWN_PARAPHRASE_ONLY; PERMISSION_FOR_REPRODUCTION,PRIOR_WRITTEN_PERMISSION_REQUIRED,YES,NO_OR_NOT_APPLICABLE,UNKNOWN_OR_NOT_APPLICABLE,UNKNOWN_OR_NOT_APPLICABLE,YES_FOR_REPRODUCE_REPUBLISH_TRANSLATE,HIGH,RESEARCH_NORMATIVE_REFERENCE_NOT_SHIPPABLE_SOURCE_CONTENT,https://mapadelatraduccion.cervantes.es/aviso-legal ; https://www.coe.int/fr/web/portal/copyright-licensing-permissions,2026-08-28,"Council of Europe states prior written permission is required to reproduce, republish or translate publication/document elements. Use CEFR as normative evidence; do not ship descriptor text or large copied tables. Spanish Cervantes-hosted content is additionally subject to Instituto Cervantes rights notices.",v1.19
7F-003,CEFR-03,CEFR,CEFR Companion Volume (2020),LEVEL_NORMATIVE,CORE / P0,https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-companion-volume-and-its-language-versions,Council of Europe,ALL_RIGHTS_RESERVED_PERMISSION_FOR_REPRODUCTION,NO_OPEN_LICENSE_VERIFIED,YES_IF_LAWFULLY_ACCESSED,YES_WITH_NORMAL_ACADEMIC_CITATION,YES_IF_LAWFULLY_ACCESSED,PUBLIC_DOCUMENT_DOWNLOAD_MAY_EXIST_REFERENCE_USE,REFERENCE_COPY_ONLY_NO_BULK_REPUBLICATION,YES_OWN_ANALYSIS_ONLY_NO_SUBSTANTIAL_REPRODUCTION,DERIVED_FACTS_AND_OWN_PARAPHRASE_ONLY; PERMISSION_FOR_REPRODUCTION,PRIOR_WRITTEN_PERMISSION_REQUIRED,YES,NO_OR_NOT_APPLICABLE,UNKNOWN_OR_NOT_APPLICABLE,UNKNOWN_OR_NOT_APPLICABLE,YES_FOR_REPRODUCE_REPUBLISH_TRANSLATE,HIGH,RESEARCH_NORMATIVE_REFERENCE_NOT_SHIPPABLE_SOURCE_CONTENT,https://www.coe.int/fr/web/portal/copyright-licensing-permissions,2026-08-28,"Council of Europe states prior written permission is required to reproduce, republish or translate publication/document elements. Use CEFR as normative evidence; do not ship descriptor text or large copied tables.",v1.19
7F-004,CEFR-04,CEFR,"Volumen complementario del MCER, versión española",LEVEL_NORMATIVE,CORE / P0,https://cvc.cervantes.es/ensenanza/biblioteca_ele/marco_complementario/indice.htm,Council of Europe / Instituto Cervantes (Spanish version),ALL_RIGHTS_RESERVED_PERMISSION_FOR_REPRODUCTION,NO_OPEN_LICENSE_VERIFIED,YES_IF_LAWFULLY_ACCESSED,YES_WITH_NORMAL_ACADEMIC_CITATION,YES_IF_LAWFULLY_ACCESSED,PUBLIC_DOCUMENT_DOWNLOAD_MAY_EXIST_REFERENCE_USE,REFERENCE_COPY_ONLY_NO_BULK_REPUBLICATION,YES_OWN_ANALYSIS_ONLY_NO_SUBSTANTIAL_REPRODUCTION,DERIVED_FACTS_AND_OWN_PARAPHRASE_ONLY; PERMISSION_FOR_REPRODUCTION,PRIOR_WRITTEN_PERMISSION_REQUIRED,YES,NO_OR_NOT_APPLICABLE,UNKNOWN_OR_NOT_APPLICABLE,UNKNOWN_OR_NOT_APPLICABLE,YES_FOR_REPRODUCE_REPUBLISH_TRANSLATE,HIGH,RESEARCH_NORMATIVE_REFERENCE_NOT_SHIPPABLE_SOURCE_CONTENT,https://mapadelatraduccion.cervantes.es/aviso-legal ; https://www.coe.int/fr/web/portal/copyright-licensing-permissions,2026-08-28,"Council of Europe states prior written permission is required to reproduce, republish or translate publication/document elements. Use CEFR as normative evidence; do not ship descriptor text or large copied tables. Spanish Cervantes-hosted content is additionally subject to Instituto Cervantes rights notices.",v1.19
7F-005,CEFR-05,CEFR,CEFR Descriptors (Searchable),LEVEL_NORMATIVE / INDEX,CORE / P0,https://www.coe.int/en/web/common-european-framework-reference-languages/cefr-descriptors,Council of Europe,ALL_RIGHTS_RESERVED_PERMISSION_FOR_REPRODUCTION,NO_OPEN_LICENSE_VERIFIED,YES_IF_LAWFULLY_ACCESSED,YES_WITH_NORMAL_ACADEMIC_CITATION,YES_IF_LAWFULLY_ACCESSED,PUBLIC_DOCUMENT_DOWNLOAD_MAY_EXIST_REFERENCE_USE,REFERENCE_COPY_ONLY_NO_BULK_REPUBLICATION,YES_OWN_ANALYSIS_ONLY_NO_SUBSTANTIAL_REPRODUCTION,DERIVED_FACTS_AND_OWN_PARAPHRASE_ONLY; PERMISSION_FOR_REPRODUCTION,PRIOR_WRITTEN_PERMISSION_REQUIRED,YES,NO_OR_NOT_APPLICABLE,UNKNOWN_OR_NOT_APPLICABLE,UNKNOWN_OR_NOT_APPLICABLE,YES_FOR_REPRODUCE_REPUBLISH_TRANSLATE,HIGH,RESEARCH_NORMATIVE_REFERENCE_NOT_SHIPPABLE_SOURCE_CONTENT,https://www.coe.int/fr/web/portal/copyright-licensing-permissions,2026-08-28,"Council of Europe states prior written permission is required to reproduce, republish or translate publication/document elements. Use CEFR as normative evidence; do not ship descriptor text or large copied tables.",v1.19
7F-006,CEFR-06,CEFR,Recursos oficiales de alineación con CEFR,SUPPORT_ALIGNMENT,SUPPORT / P2,https://www.coe.int/en/web/common-european-framework-reference-languages/documents,Council of Europe,ALL_RIGHTS_RESERVED_PERMISSION_FOR_REPRODUCTION,NO_OPEN_LICENSE_VERIFIED,YES_IF_LAWFULLY_ACCESSED,YES_WITH_NORMAL_ACADEMIC_CITATION,YES_IF_LAWFULLY_ACCESSED,PUBLIC_DOCUMENT_DOWNLOAD_MAY_EXIST_REFERENCE_USE,REFERENCE_COPY_ONLY_NO_BULK_REPUBLICATION,YES_OWN_ANALYSIS_ONLY_NO_SUBSTANTIAL_REPRODUCTION,DERIVED_FACTS_AND_OWN_PARAPHRASE_ONLY; PERMISSION_FOR_REPRODUCTION,PRIOR_WRITTEN_PERMISSION_REQUIRED,YES,NO_OR_NOT_APPLICABLE,UNKNOWN_OR_NOT_APPLICABLE,UNKNOWN_OR_NOT_APPLICABLE,YES_FOR_REPRODUCE_REPUBLISH_TRANSLATE,HIGH,RESEARCH_NORMATIVE_REFERENCE_NOT_SHIPPABLE_SOURCE_CONTENT,https://www.coe.int/fr/web/portal/copyright-licensing-permissions,2026-08-28,"Council of Europe states prior written permission is required to reproduce, republish or translate publication/document elements. Use CEFR as normative evidence; do not ship descriptor text or large copied tables.",v1.19
7F-007,PCIC-00,PCIC,Plan Curricular del Instituto Cervantes. Niveles de referencia para el español — Introducción general e índice,LEVEL_NORMATIVE / SPANISH_SPECIFICATION,CORE / P0,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/indice.htm,Instituto Cervantes,ALL_RIGHTS_RESERVED_CERVANTES,NO_OPEN_LICENSE_VERIFIED,YES_IF_LAWFULLY_ACCESSED,YES_WITH_NORMAL_ACADEMIC_CITATION,YES_IF_LAWFULLY_ACCESSED,PUBLIC_VIEWING; NO_BULK_INGEST_RIGHT_GRANTED,REFERENCE_LOCATORS_AND_MINIMAL_NOTES_ONLY,YES_CAUTIOUSLY; OWN_NORMALIZATION/DECISIONS; AVOID_COPYING_SELECTION_OR_ARRANGEMENT_AT_SCALE,LEGAL_REVIEW_OR_LICENSE_REQUIRED_FOR_SUBSTANTIAL_PCIC_DERIVED_INVENTORY,NO; RIGHTS_RESERVED,YES,NO_OR_NOT_APPLICABLE,UNKNOWN_OR_NOT_APPLICABLE,UNKNOWN_OR_NOT_APPLICABLE,YES_FOR_EXPLOITATION_REPRODUCTION_DISTRIBUTION,CRITICAL,NORMATIVE_RESEARCH_LAYER_ONLY_UNTIL_LICENSE_OR_CLEAN_ROOM_REBUILD,https://mapadelatraduccion.cervantes.es/aviso-legal,2026-08-28,Cervantes legal notice reserves rights and states access does not grant exploitation/reproduction/distribution rights. Systematic extraction of PCIC A1 lists may also implicate database/selection rights; current 602-form prototype should not be treated as cleared product data without counsel/license or independent reconstruction.,v1.19
7F-008,PCIC-01,PCIC,Objetivos generales A1-A2,,CORE / P0,,Instituto Cervantes,ALL_RIGHTS_RESERVED_CERVANTES,NO_OPEN_LICENSE_VERIFIED,YES_IF_LAWFULLY_ACCESSED,YES_WITH_NORMAL_ACADEMIC_CITATION,YES_IF_LAWFULLY_ACCESSED,PUBLIC_VIEWING; NO_BULK_INGEST_RIGHT_GRANTED,REFERENCE_LOCATORS_AND_MINIMAL_NOTES_ONLY,YES_CAUTIOUSLY; OWN_NORMALIZATION/DECISIONS; AVOID_COPYING_SELECTION_OR_ARRANGEMENT_AT_SCALE,LEGAL_REVIEW_OR_LICENSE_REQUIRED_FOR_SUBSTANTIAL_PCIC_DERIVED_INVENTORY,NO; RIGHTS_RESERVED,YES,NO_OR_NOT_APPLICABLE,UNKNOWN_OR_NOT_APPLICABLE,UNKNOWN_OR_NOT_APPLICABLE,YES_FOR_EXPLOITATION_REPRODUCTION_DISTRIBUTION,CRITICAL,NORMATIVE_RESEARCH_LAYER_ONLY_UNTIL_LICENSE_OR_CLEAN_ROOM_REBUILD,https://mapadelatraduccion.cervantes.es/aviso-legal,2026-08-28,Cervantes legal notice reserves rights and states access does not grant exploitation/reproduction/distribution rights. Systematic extraction of PCIC A1 lists may also implicate database/selection rights; current 602-form prototype should not be treated as cleared product data without counsel/license or independent reconstruction.,v1.19
7F-009,PCIC-02,PCIC,Gramática. Inventario A1-A2,,CORE / P0,,Instituto Cervantes,ALL_RIGHTS_RESERVED_CERVANTES,NO_OPEN_LICENSE_VERIFIED,YES_IF_LAWFULLY_ACCESSED,YES_WITH_NORMAL_ACADEMIC_CITATION,YES_IF_LAWFULLY_ACCESSED,PUBLIC_VIEWING; NO_BULK_INGEST_RIGHT_GRANTED,REFERENCE_LOCATORS_AND_MINIMAL_NOTES_ONLY,YES_CAUTIOUSLY; OWN_NORMALIZATION/DECISIONS; AVOID_COPYING_SELECTION_OR_ARRANGEMENT_AT_SCALE,LEGAL_REVIEW_OR_LICENSE_REQUIRED_FOR_SUBSTANTIAL_PCIC_DERIVED_INVENTORY,NO; RIGHTS_RESERVED,YES,NO_OR_NOT_APPLICABLE,UNKNOWN_OR_NOT_APPLICABLE,UNKNOWN_OR_NOT_APPLICABLE,YES_FOR_EXPLOITATION_REPRODUCTION_DISTRIBUTION,CRITICAL,NORMATIVE_RESEARCH_LAYER_ONLY_UNTIL_LICENSE_OR_CLEAN_ROOM_REBUILD,https://mapadelatraduccion.cervantes.es/aviso-legal,2026-08-28,Cervantes legal notice reserves rights and states access does not grant exploitation/reproduction/distribution rights. Systematic extraction of PCIC A1 lists may also implicate database/selection rights; current 602-form prototype should not be treated as cleared product data without counsel/license or independent reconstruction.,v1.19
7F-010,PCIC-03,PCIC,Pronunciación y prosodia. Inventario A1-A2,,CORE / P0,,Instituto Cervantes,ALL_RIGHTS_RESERVED_CERVANTES,NO_OPEN_LICENSE_VERIFIED,YES_IF_LAWFULLY_ACCESSED,YES_WITH_NORMAL_ACADEMIC_CITATION,YES_IF_LAWFULLY_ACCESSED,PUBLIC_VIEWING; NO_BULK_INGEST_RIGHT_GRANTED,REFERENCE_LOCATORS_AND_MINIMAL_NOTES_ONLY,YES_CAUTIOUSLY; OWN_NORMALIZATION/DECISIONS; AVOID_COPYING_SELECTION_OR_ARRANGEMENT_AT_SCALE,LEGAL_REVIEW_OR_LICENSE_REQUIRED_FOR_SUBSTANTIAL_PCIC_DERIVED_INVENTORY,NO; RIGHTS_RESERVED,YES,NO_OR_NOT_APPLICABLE,UNKNOWN_OR_NOT_APPLICABLE,UNKNOWN_OR_NOT_APPLICABLE,YES_FOR_EXPLOITATION_REPRODUCTION_DISTRIBUTION,CRITICAL,NORMATIVE_RESEARCH_LAYER_ONLY_UNTIL_LICENSE_OR_CLEAN_ROOM_REBUILD,https://mapadelatraduccion.cervantes.es/aviso-legal,2026-08-28,Cervantes legal notice reserves rights and states access does not grant exploitation/reproduction/distribution rights. Systematic extraction of PCIC A1 lists may also implicate database/selection rights; current 602-form prototype should not be treated as cleared product data without counsel/license or independent reconstruction.,v1.19
