record_id,record_type,source_id,source_level,pcic_ref,pcic_short_label,normalized_spanishstories_item,resource_family,minimal_realizers_or_pattern,receptive_required,productive_required,regional_scope,status,linked_inventory_or_item,baseline_lexicon_action,source_url,notes,curriculum_version
PRAG8A-001,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.1.1,Proformas anafóricas — pronombre personal,Mantener el referente mediante pronombre personal anafórico,REFERENCE_COHESION,pronombre personal,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-002,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.1.1,Proformas anafóricas — demostrativos,Mantener el referente mediante demostrativos con función anafórica,REFERENCE_COHESION,demostrativos,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-003,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.1.1,Proformas anafóricas — posesivos,Mantener el referente mediante posesivos con función anafórica,REFERENCE_COHESION,posesivos,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-004,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.1.1,Sustitución por Ø — sujeto,Mantener el hilo discursivo mediante elipsis de sujeto cuando el referente es recuperable,REFERENCE_COHESION,Ø sujeto,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-005,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.2.1,Conector aditivo y,Conectar dos unidades mediante adición básica,DISCOURSE_MARKER,y,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-006,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.2.1,Conector aditivo también,Añadir información compartiendo el mismo foco proposicional,DISCOURSE_MARKER,también,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-007,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.2.1,Conector contraargumentativo pero,Relacionar dos unidades mediante contraste/contraexpectativa elemental,DISCOURSE_MARKER,pero,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-008,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.2.1,Conector justificativo porque,Introducir una justificación o causa elemental,DISCOURSE_MARKER,porque,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-009,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.2.4,Operador focalizador también,Destacar inclusión del elemento focalizado,DISCOURSE_OPERATOR,también,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-010,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.2.4,Operador focalizador tampoco,Destacar inclusión dentro de una polaridad negativa,DISCOURSE_OPERATOR,tampoco,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
PRAG8A-011,A1_PRAGMATIC_ITEM,PCIC-06,A1,1.2.4,Operador de concreción por ejemplo,Introducir una ejemplificación básica,DISCOURSE_OPERATOR,por ejemplo,YES,YES,,A1_EXPLICIT,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/06_tacticas_pragmaticas_inventario_a1-a2.htm,,1.21
