record_id,record_type,source_id,source_level,pcic_ref,pcic_short_label,normalized_spanishstories_item,inventory,transmission_mode,receptive_required,productive_required,domain_or_scope,parent_record_or_item,status,linked_inventory_or_item,baseline_lexicon_action,source_url,notes,curriculum_version
GEN8B-001,A1_GENRE_PROFILE,PCIC-07,A1,1.2,Conversaciones cara a cara muy breves e informales sobre personas y lugares,Conversación cara a cara muy breve e informal sobre personas y lugares,A1-GENRES,ORAL,YES,YES,personas; lugares,,A1_EXPLICIT_DETAILED_PROFILE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-002,A1_GENRE_PROFILE,PCIC-07,A1,1.2,Conversaciones transaccionales cara a cara,Conversación transaccional cara a cara elemental,A1-GENRES,ORAL,YES,YES,compras sencillas; preguntas sobre lugares; indicaciones,,A1_EXPLICIT_DETAILED_PROFILE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-003,A1_GENRE_PROFILE,PCIC-07,A1,1.3,"Billetes (de transporte, de banco)",Billetes como productos escritos breves,A1-GENRES,WRITTEN,YES,NO,transporte; banco,,A1_EXPLICIT_DETAILED_PROFILE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-004,A1_GENRE_PROFILE,PCIC-07,A1,1.3,Carteles; directorios de centros comerciales,Carteles y directorios funcionales en establecimientos,A1-GENRES,WRITTEN,YES,NO,hoteles; tiendas; supermercados; mercados; centros comerciales,,A1_EXPLICIT_DETAILED_PROFILE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-005,A1_GENRE_PROFILE,PCIC-07,A1,1.3,Diccionarios bilingües,Diccionario bilingüe como género de consulta,A1-GENRES,WRITTEN,YES,NO,consulta léxica,,A1_EXPLICIT_DETAILED_PROFILE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-006,A1_GENRE_PROFILE,PCIC-07,A1,1.3,Formularios (datos personales),Formulario de datos personales,A1-GENRES,WRITTEN,YES,YES,datos personales,,A1_EXPLICIT_DETAILED_PROFILE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-007,A1_GENRE_PROFILE,PCIC-07,A1,1.3,Hojas y folletos con información turística,Hoja o folleto de información turística,A1-GENRES,WRITTEN,YES,NO,turismo,,A1_EXPLICIT_DETAILED_PROFILE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-008,A1_GENRE_PROFILE,PCIC-07,A1,1.3,Horarios de establecimientos y transporte público,Horario funcional de establecimiento o transporte,A1-GENRES,WRITTEN,YES,NO,establecimientos; transporte público,,A1_EXPLICIT_DETAILED_PROFILE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-009,A1_GENRE_PROFILE,PCIC-07,A1,1.3,"Menús del día, turísticos o de comida rápida",Menú funcional sencillo,A1-GENRES,WRITTEN,YES,NO,alimentación; restauración,,A1_EXPLICIT_DETAILED_PROFILE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
GEN8B-010,A1_GENRE_PROFILE,PCIC-07,A1,1.3,Notas muy breves y sencillas,Nota muy breve y sencilla,A1-GENRES,WRITTEN,YES,NO,necesidad inmediata,,A1_EXPLICIT_DETAILED_PROFILE,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/07_generos_discursivos_inventario_a1-a2.htm,,1.22
