record_id,record_type,source_id,source_scope,source_ref,normalized_item,phonology_domain,receptive_required,productive_required,regional_scope,l1_english_relevance,a1_status,linked_phase8_item,orthography_crossref,baseline_lexicon_action,source_url,notes,curriculum_version
PHON9A-001,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,1.1,Modo de fonación general del español,BASE_ARTICULATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-002,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,1.1,Grado de tensión articulatoria característico,BASE_ARTICULATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-003,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,1.1,Vocales de timbre estable y nítido,BASE_ARTICULATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-004,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,1.1,Ausencia de africación sistemática en consonantes,BASE_ARTICULATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-005,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,1.1,Mantenimiento del timbre vocálico en sílabas inacentuadas,BASE_ARTICULATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-006,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,1.1,Movimiento labial relativamente marcado,BASE_ARTICULATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-007,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,1.1,Nasalización vocálica no fonológica y limitada,BASE_ARTICULATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-008,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,1.1,Tendencia articulatoria hacia la sílaba abierta,BASE_ARTICULATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-009,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,1.1,Predominio articulatorio central-anterior,BASE_ARTICULATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-010,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,1.1,Conciencia de que el acento refleja hábitos y procedencia geo-sociocultural,BASE_ARTICULATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-011,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,2.1.1,Relacionar unidad melódica y puntuación básica,INTONATION_SEGMENTATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-012,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,2.1.2,Reconocer variación de longitud de las unidades melódicas,INTONATION_SEGMENTATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-013,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,2.1.2,Reconocer palabra monosilábica como unidad melódica mínima posible,INTONATION_SEGMENTATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-014,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,2.1.2,Trabajar unidades melódicas frecuentes de extensión media,INTONATION_SEGMENTATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-015,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,2.1.4,Relacionar división melódica y estructuras sintácticas básicas,INTONATION_SEGMENTATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-016,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,2.1.4,Producir entonación de vocativo,INTONATION_SEGMENTATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-017,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,2.1.4,Producir oración simple breve como una unidad melódica,INTONATION_SEGMENTATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-018,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,2.1.4,Segmentar oraciones simples largas en más de una unidad,INTONATION_SEGMENTATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
PHON9A-019,STAGE_A_PHONOLOGY_ITEM,PCIC-03,A1-A2_STAGE_A_UNSPLIT,2.1.4,Segmentar enumeraciones por miembros,INTONATION_SEGMENTATION,YES,YES,,,STAGE_A_A1_A2_UNSPLIT,,,NO_CHANGE,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/03_pronunciacion_inventario_a1-a2.htm,,1.23
