record_id,record_type,domain,source_section,level,item,orthography_object_type,regional_scope,crossref,evidence_gate,baseline_action,notes,source_id,source_url,curriculum_version
9B-0001,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.1 Abecedario,A1,Nombre de las letras del abecedario/alfabeto,ALPHABET_KNOWLEDGE,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0002,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.1 Abecedario,A1,"Letras con varios nombres en español: b, r/rr, v, w, y, z",LETTER_NAME_VARIATION,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0003,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.1 Abecedario,A1,"Plural de las letras: aes, bes, ces…",LETTER_PLURAL,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0004,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.1 Abecedario,A1,"Más de una letra para un sonido: b/v→/b/, g(e,i)/j→/x/, k/qu/c(a,o,u)→/k/",GRAPHEME_PHONEME_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0005,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.1 Abecedario,A1,Una letra para más de un sonido: w→/u/ o /b/; y→/y/ o /i/,GRAPHEME_PHONEME_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0006,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.1 Abecedario,A1,Dígrafos ch y ll,DIGRAPH,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0007,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.1 Abecedario,A1,Deletreo,SPELLING_OUT,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0008,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.1 Abecedario,A1,Escasa frecuencia de consonantes idénticas contiguas,ORTHOTACTIC_PATTERN,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0009,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.2 Vocales,A1,"a, e, i, o, u y representación de /a e i o u/",GRAPHEME_PHONEME_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0010,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.2 Vocales,A1,Las vocales pueden llevar tilde,ACCENTABILITY,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0011,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.2 Vocales,A1,Formas contractas al y del,WORD_FORM_ORTHOGRAPHY,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0012,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.2 Vocales,A1,Conjunción e frente a y ante sonido /i/ inicial,CONJUNCTION_ALTERNATION,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0013,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.2 Vocales,A1,En interrogativas se mantiene y ante i: ¿Y Inmaculada?,CONJUNCTION_ALTERNATION,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0014,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.2 Vocales,A1,Conjunción u frente a o ante sonido /o/ inicial,CONJUNCTION_ALTERNATION,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0015,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.1 b/v/w,A1,b representa /b/,GRAPHEME_PHONEME_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0016,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.1 b/v/w,A1,v representa /b/,GRAPHEME_PHONEME_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0017,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.1 b/v/w,A1,v en presente de indicativo de ir,MORPHOLOGICAL_SPELLING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0018,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.1 b/v/w,A1,w representa /w/ en voces no adaptadas del inglés,GRAPHEME_PHONEME_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0019,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.2 c/k/q/z/ch,A1,"c representa /k/ ante a, o, u, consonante y final de sílaba",GRAPHEME_PHONEME_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0020,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.2 c/k/q/z/ch,A1,"c representa /θ/ ante e, i en variedades distinguidoras",GRAPHEME_PHONEME_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0021,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.2 c/k/q/z/ch,A1,"Posibilidad de cc en español: lección, dirección, diccionario",LETTER_SEQUENCE,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0022,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.2 c/k/q/z/ch,A1,k representa /k/,GRAPHEME_PHONEME_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0023,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.2 c/k/q/z/ch,A1,"qu ante e, i representa /k/",DIGRAPH_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
9B-0024,A1_ORTHOGRAPHY_ITEM,Ortografía de letras y palabras,1.3.2 c/k/q/z/ch,A1,"z representa /θ/ ante a, o, u en variedades distinguidoras",GRAPHEME_PHONEME_MAPPING,,,PCIC_A1_EXPLICIT,NO_LEXICAL_BASELINE_CHANGE,,PCIC-04,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/04_ortografia_inventario_a1-a2.htm,v1.24
