audit_id,record_type,workstream_id,layer,source_basis,grading_model,coverage_status,observed_count,expected_count,coverage_numerator,coverage_denominator,coverage_percent,severity,blocking_for_phase16,issue,decision,next_action,evidence_basis,notes
COV15-I01,INVENTORY_COVERAGE,WS-COVERAGE-FINAL,CEFR Pre-A1,CEFR-03/04/05,EXPLICIT_CEFR_LEVEL,COMPLETE_EXPLICIT_LEVEL,29,29,,,,NONE,NO,,,,Curriculum master v1.37 §§63–71,
COV15-I02,INVENTORY_COVERAGE,WS-COVERAGE-FINAL,CEFR A1,CEFR-03/04/05,EXPLICIT_CEFR_LEVEL,COMPLETE_EXPLICIT_LEVEL,59,59,,,,NONE,NO,,,,Curriculum master v1.37 §§63–71,
COV15-I03,INVENTORY_COVERAGE,WS-COVERAGE-FINAL,Funciones,PCIC-05,EXPLICIT_A1_A2,COMPLETE_A1,55 unique / 57 positions + 13 subfunctions,55 unique,,,,NONE,NO,,,,Curriculum master v1.37 §§63–71,
COV15-I04,INVENTORY_COVERAGE,WS-COVERAGE-FINAL,Gramática,PCIC-02,EXPLICIT_A1_A2,COMPLETE_A1,169 + 27 A2 boundaries,169,,,,NONE,NO,,,,Curriculum master v1.37 §§63–71,
COV15-I05,INVENTORY_COVERAGE,WS-COVERAGE-FINAL,Nociones generales,PCIC-08,EXPLICIT_A1_A2,COMPLETE_A1,53 nodes / 230 realization assertions,53 nodes,,,,NONE,NO,,,,Curriculum master v1.37 §§63–71,
COV15-I06,INVENTORY_COVERAGE,WS-COVERAGE-FINAL,Nociones específicas,PCIC-09,EXPLICIT_A1_A2,COMPLETE_A1_DOMAIN_EXTRACTION,20/20 domains,20,,,,NONE,NO,,,,Curriculum master v1.37 §§63–71,
COV15-I07,INVENTORY_COVERAGE,WS-COVERAGE-FINAL,Léxico normalizado,PCIC-09 + normalized Phase14 registry,SOURCE_ASSERTION_LEVEL_MODEL,COMPLETE_IDENTITY_REGISTRY,599 Lexemes / 602 A1 Senses,599 Lexemes,,,,NONE,NO,,,,Curriculum master v1.37 §§63–71,
COV15-I08,INVENTORY_COVERAGE,WS-COVERAGE-FINAL,MWU/chunks,PCIC-08/09 + Phase14 ontology,MIXED_LEXICAL_FUNCTIONAL,COMPLETE_ONTOLOGY_CLASSIFICATION,214 = 44+68+77+22+3,214,,,,NONE,NO,,,,Curriculum master v1.37 §§63–71,
COV15-I09,INVENTORY_COVERAGE,WS-COVERAGE-FINAL,Pragmática,PCIC-06,EXPLICIT_A1_A2,COMPLETE_A1,39 resources + 6 regional assertions,39,,,,NONE,NO,,,,Curriculum master v1.37 §§63–71,
COV15-I10,INVENTORY_COVERAGE,WS-COVERAGE-FINAL,Géneros,PCIC-07,EXPLICIT_A1_A2,COMPLETE_A1,11 profiles + 13 subtypes + 27 A2 boundary,11 profiles,,,,NONE,NO,,,,Curriculum master v1.37 §§63–71,
