record_id,record_type,workstream_id,source_id,source_version,test_id,task_id,test_name,task_number,modality,receptive_productive,capacity_normalized,candidate_action_normalized,input_or_product_type,domain,input_or_output_extent,item_count,response_format,visual_support,preparation,duration,linked_cefr,linked_pcic_genres,linked_functions,curricular_interpretation,lexical_level_effect,baseline_action,source_location,source_url,rights_status,notes,curriculum_version
DELEWS-001,TEST_PROFILE,WS-DELE-TASKS,DELE-01;DELE-02,2020 vigente,P1,,Comprensión de lectura,,READING,RECEPTIVE,Operationalization of A1 through comprensión de lectura.,4 tasks.,,,,25,,,,45 min,,,,EXAM_OPERATIONALIZATION_NOT_CURRICULUM_SOURCE,NONE,NO_CHANGE,DELE-02 p.1,https://controlcalidad.examenes.cervantes.es/es/dele/como-son-los-examenes/a1,REFERENCE_ONLY_NO_ITEM_REUSE,25 points,1.29
DELEWS-002,TEST_PROFILE,WS-DELE-TASKS,DELE-01;DELE-02,2020 vigente,P2,,Comprensión auditiva,,LISTENING,RECEPTIVE,Operationalization of A1 through comprensión auditiva.,4 tasks.,,,,25,,,,25 min,,,,EXAM_OPERATIONALIZATION_NOT_CURRICULUM_SOURCE,NONE,NO_CHANGE,DELE-02 p.2,https://controlcalidad.examenes.cervantes.es/es/dele/como-son-los-examenes/a1,REFERENCE_ONLY_NO_ITEM_REUSE,25 points,1.29
DELEWS-003,TEST_PROFILE,WS-DELE-TASKS,DELE-01;DELE-02,2020 vigente,P3,,Expresión e interacción escritas,,WRITING,PRODUCTIVE_INTERACTIVE,Operationalization of A1 through expresión e interacción escritas.,2 tasks.,,,,,,,,25 min,,,,EXAM_OPERATIONALIZATION_NOT_CURRICULUM_SOURCE,NONE,NO_CHANGE,DELE-02 p.3,https://controlcalidad.examenes.cervantes.es/es/dele/como-son-los-examenes/a1,REFERENCE_ONLY_NO_ITEM_REUSE,25 points,1.29
DELEWS-004,TEST_PROFILE,WS-DELE-TASKS,DELE-01;DELE-02,2020 vigente,P4,,Expresión e interacción orales,,SPEAKING,PRODUCTIVE_INTERACTIVE,Operationalization of A1 through expresión e interacción orales.,3 tasks.,,,,,,,,10 min + 10 min preparación,,,,EXAM_OPERATIONALIZATION_NOT_CURRICULUM_SOURCE,NONE,NO_CHANGE,DELE-02 p.4,https://controlcalidad.examenes.cervantes.es/es/dele/como-son-los-examenes/a1,REFERENCE_ONLY_NO_ITEM_REUSE,25 points,1.29
DELEWS-005,TASK_PROFILE,WS-DELE-TASKS,DELE-02,2020 vigente,P1,DELE-A1-R1,Comprensión de lectura,1,READING,RECEPTIVE,Comprender mensajes escritos breves y sencillos de carácter personal.,Leer un texto epistolar breve y responder preguntas cerradas.,correo electrónico / postal breve,personal,150-175 palabras,5,3-option multiple choice; final item may use images,LIMITED,,within 45-min reading test,CEFR-A1-008; CEFR-A1-007,GEN8B-011,correspondencia; información personal,VALID_TASK_TYPE_SIGNAL; DOES_NOT_PROMOTE_LEXICON_OR_GRAMMAR,NONE,NO_CHANGE,DELE-02 p.1,https://examenes.cervantes.es/sites/default/files/Especificaciones_DELE_A1_2020.pdf,TASK_ABSTRACTION_ONLY_NO_REACTIVES_TEXT_AUDIO_REUSE,Paraphrased specification; no exam item content copied.,1.29
DELEWS-006,TASK_PROFILE,WS-DELE-TASKS,DELE-02,2020 vigente,P1,DELE-A1-R2,Comprensión de lectura,2,READING,RECEPTIVE,Localizar información específica en textos funcionales muy breves.,Relacionar textos muy breves con enunciados.,notas; agenda; catálogo; anuncio; instrucción; cartel; señal; aviso,personal; público,20-30 palabras por texto,6,matching: 6 of 9 texts,YES,,within 45-min reading test,CEFR-A1-009; CEFR-A1-011,GEN8B-004; GEN8B-008; GEN8B-010,orientarse; obtener información concreta,VALID_TASK_TYPE_SIGNAL; DOES_NOT_PROMOTE_LEXICON_OR_GRAMMAR,NONE,NO_CHANGE,DELE-02 p.1,https://examenes.cervantes.es/sites/default/files/Especificaciones_DELE_A1_2020.pdf,TASK_ABSTRACTION_ONLY_NO_REACTIVES_TEXT_AUDIO_REUSE,Paraphrased specification; no exam item content copied.,1.29
DELEWS-007,TASK_PROFILE,WS-DELE-TASKS,DELE-02,2020 vigente,P1,DELE-A1-R3,Comprensión de lectura,3,READING,RECEPTIVE,"Captar sentido general en material informativo, instrucciones y descripciones breves.",Relacionar anuncios breves con declaraciones de personas.,folleto; anuncio; catálogo; material promocional/informativo,público,20-30 palabras por texto; declaraciones 10-25,6,matching: 6 of 9 texts,YES,,within 45-min reading test,CEFR-A1-010; CEFR-A1-009,GEN8B-007; GEN8B-004,comprender descripción/información básica,VALID_TASK_TYPE_SIGNAL; DOES_NOT_PROMOTE_LEXICON_OR_GRAMMAR,NONE,NO_CHANGE,DELE-02 p.1,https://examenes.cervantes.es/sites/default/files/Especificaciones_DELE_A1_2020.pdf,TASK_ABSTRACTION_ONLY_NO_REACTIVES_TEXT_AUDIO_REUSE,Paraphrased specification; no exam item content copied.,1.29
DELEWS-008,TASK_PROFILE,WS-DELE-TASKS,DELE-02,2020 vigente,P1,DELE-A1-R4,Comprensión de lectura,4,READING,RECEPTIVE,Extraer información específica de un texto informativo o instructivo muy breve y corriente.,Leer un texto funcional y responder preguntas cerradas.,anuncio; aviso; cartel/señal; billete; agenda; material promocional,público,175-210 palabras,8,3-option multiple choice,POSSIBLE,,within 45-min reading test,CEFR-A1-009; CEFR-A1-011,GEN8B-003; GEN8B-004; GEN8B-008,localizar información; seguir indicaciones,VALID_TASK_TYPE_SIGNAL; DOES_NOT_PROMOTE_LEXICON_OR_GRAMMAR,NONE,NO_CHANGE,DELE-02 p.1,https://examenes.cervantes.es/sites/default/files/Especificaciones_DELE_A1_2020.pdf,TASK_ABSTRACTION_ONLY_NO_REACTIVES_TEXT_AUDIO_REUSE,Paraphrased specification; no exam item content copied.,1.29
DELEWS-009,TASK_PROFILE,WS-DELE-TASKS,DELE-02,2020 vigente,P2,DELE-A1-L1,Comprensión auditiva,1,LISTENING,RECEPTIVE,"Captar idea general y datos concretos en conversaciones muy breves, lentas y claras.",Escuchar diálogos breves y responder preguntas cerradas con apoyo visual.,intercambio conversacional de 2-3 turnos,personal,30-40 palabras por diálogo,5,3-option multiple choice using images,YES,,within 25-min listening test,CEFR-A1-001; CEFR-A1-002,GEN8B-001,comprender conversación básica,VALID_TASK_TYPE_SIGNAL; DOES_NOT_PROMOTE_LEXICON_OR_GRAMMAR,NONE,NO_CHANGE,DELE-02 p.2,https://examenes.cervantes.es/sites/default/files/Especificaciones_DELE_A1_2020.pdf,TASK_ABSTRACTION_ONLY_NO_REACTIVES_TEXT_AUDIO_REUSE,Paraphrased specification; no exam item content copied.,1.29
DELEWS-010,TASK_PROFILE,WS-DELE-TASKS,DELE-02,2020 vigente,P2,DELE-A1-L2,Comprensión auditiva,2,LISTENING,RECEPTIVE,"Captar la idea general de mensajes o avisos muy breves, lentos y claros.",Escuchar mensajes y relacionarlos con imágenes.,mensaje/aviso cara a cara o por megafonía,público,15-30 palabras por texto,5,matching 5 messages to 5 of 8 images,YES,,within 25-min listening test,CEFR-A1-004; CEFR-A1-005,,comprender anuncios/avisos,VALID_TASK_TYPE_SIGNAL; DOES_NOT_PROMOTE_LEXICON_OR_GRAMMAR,NONE,NO_CHANGE,DELE-02 p.2,https://examenes.cervantes.es/sites/default/files/Especificaciones_DELE_A1_2020.pdf,TASK_ABSTRACTION_ONLY_NO_REACTIVES_TEXT_AUDIO_REUSE,Paraphrased specification; no exam item content copied.,1.29
