record_id,item,object_type,measurement_source_id,measurement_source_name,source_version,measurement_dimension,measurement_status,raw_occurrence_count,rank_in_top50k,top50k_match_status,matching_method,consulted_at,normalization_candidate,normalization_candidate_raw_occurrence_count,normalization_candidate_rank_in_top50k,normalization_review_reason,curricular_variant_status,scan_verified_through_rank,normalized_frequency,normalized_frequency_unit,source_register,source_year,source_data_origin,license,commercial_use_status,level_effect,priority_effect_status,source_url,evidence_url,notes,curriculum_version
12B1-ATOM-0001,a,ATOMIC_SURFACE_FORM,CORP-18,FrequencyWords / OpenSubtitles2018 Spanish 50k,FrequencyWords content/2018/es/es_50k.txt (OpenSubtitles2018-derived),SURFACE_SUBTITLE_OCCURRENCE_COUNT_AND_RANK,MEASURED_EXACT_SURFACE,9549646,4,FOUND_TOP50K,EXACT_CASE_SENSITIVE_SURFACE_TOKEN,2026-09-04,,,,,NONE_OR_NOT_ANNOTATED_IN_THIS_PASS,FULL_TOP50K_EXACT_LOOKUP_50000,,NOT_CALCULATED_DENOMINATOR_NOT_FIXED,SUBTITLE_AUDIOVISUAL,2018,OpenSubtitles2018 via FrequencyWords processing,CC BY-SA 4.0 content,ALLOWED_WITH_ATTRIBUTION_AND_SHAREALIKE_BOUNDARY,NONE_FREQUENCY_DOES_NOT_SET_LEVEL,QUANT_SIGNAL_AVAILABLE_NOT_YET_COMPOSITE_SCORED,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/es/es_50k.txt,https://raw.githubusercontent.com/hermitdave/FrequencyWords/refs/heads/master/content/2018/es/es_50k.txt,Full continuous top-50k exact surface sweep completed on 2026-09-04. Frequency is quantitative evidence only and does not set CEFR level.,1.32
12B1-ATOM-0002,abierto,ATOMIC_SURFACE_FORM,CORP-18,FrequencyWords / OpenSubtitles2018 Spanish 50k,FrequencyWords content/2018/es/es_50k.txt (OpenSubtitles2018-derived),SURFACE_SUBTITLE_OCCURRENCE_COUNT_AND_RANK,MEASURED_EXACT_SURFACE,19934,1714,FOUND_TOP50K,EXACT_CASE_SENSITIVE_SURFACE_TOKEN,2026-09-04,,,,,NONE_OR_NOT_ANNOTATED_IN_THIS_PASS,FULL_TOP50K_EXACT_LOOKUP_50000,,NOT_CALCULATED_DENOMINATOR_NOT_FIXED,SUBTITLE_AUDIOVISUAL,2018,OpenSubtitles2018 via FrequencyWords processing,CC BY-SA 4.0 content,ALLOWED_WITH_ATTRIBUTION_AND_SHAREALIKE_BOUNDARY,NONE_FREQUENCY_DOES_NOT_SET_LEVEL,QUANT_SIGNAL_AVAILABLE_NOT_YET_COMPOSITE_SCORED,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/es/es_50k.txt,https://raw.githubusercontent.com/hermitdave/FrequencyWords/refs/heads/master/content/2018/es/es_50k.txt,Full continuous top-50k exact surface sweep completed on 2026-09-04. Frequency is quantitative evidence only and does not set CEFR level.,1.32
12B1-ATOM-0003,abogado,ATOMIC_SURFACE_FORM,CORP-18,FrequencyWords / OpenSubtitles2018 Spanish 50k,FrequencyWords content/2018/es/es_50k.txt (OpenSubtitles2018-derived),SURFACE_SUBTITLE_OCCURRENCE_COUNT_AND_RANK,MEASURED_EXACT_SURFACE,48914,768,FOUND_TOP50K,EXACT_CASE_SENSITIVE_SURFACE_TOKEN,2026-09-04,,,,,NONE_OR_NOT_ANNOTATED_IN_THIS_PASS,FULL_TOP50K_EXACT_LOOKUP_50000,,NOT_CALCULATED_DENOMINATOR_NOT_FIXED,SUBTITLE_AUDIOVISUAL,2018,OpenSubtitles2018 via FrequencyWords processing,CC BY-SA 4.0 content,ALLOWED_WITH_ATTRIBUTION_AND_SHAREALIKE_BOUNDARY,NONE_FREQUENCY_DOES_NOT_SET_LEVEL,QUANT_SIGNAL_AVAILABLE_NOT_YET_COMPOSITE_SCORED,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/es/es_50k.txt,https://raw.githubusercontent.com/hermitdave/FrequencyWords/refs/heads/master/content/2018/es/es_50k.txt,Full continuous top-50k exact surface sweep completed on 2026-09-04. Frequency is quantitative evidence only and does not set CEFR level.,1.32
12B1-ATOM-0004,abrir,ATOMIC_SURFACE_FORM,CORP-18,FrequencyWords / OpenSubtitles2018 Spanish 50k,FrequencyWords content/2018/es/es_50k.txt (OpenSubtitles2018-derived),SURFACE_SUBTITLE_OCCURRENCE_COUNT_AND_RANK,MEASURED_EXACT_SURFACE,28090,1261,FOUND_TOP50K,EXACT_CASE_SENSITIVE_SURFACE_TOKEN,2026-09-04,,,,,NONE_OR_NOT_ANNOTATED_IN_THIS_PASS,FULL_TOP50K_EXACT_LOOKUP_50000,,NOT_CALCULATED_DENOMINATOR_NOT_FIXED,SUBTITLE_AUDIOVISUAL,2018,OpenSubtitles2018 via FrequencyWords processing,CC BY-SA 4.0 content,ALLOWED_WITH_ATTRIBUTION_AND_SHAREALIKE_BOUNDARY,NONE_FREQUENCY_DOES_NOT_SET_LEVEL,QUANT_SIGNAL_AVAILABLE_NOT_YET_COMPOSITE_SCORED,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/es/es_50k.txt,https://raw.githubusercontent.com/hermitdave/FrequencyWords/refs/heads/master/content/2018/es/es_50k.txt,Full continuous top-50k exact surface sweep completed on 2026-09-04. Frequency is quantitative evidence only and does not set CEFR level.,1.32
12B1-ATOM-0005,abuelo,ATOMIC_SURFACE_FORM,CORP-18,FrequencyWords / OpenSubtitles2018 Spanish 50k,FrequencyWords content/2018/es/es_50k.txt (OpenSubtitles2018-derived),SURFACE_SUBTITLE_OCCURRENCE_COUNT_AND_RANK,MEASURED_EXACT_SURFACE,37062,980,FOUND_TOP50K,EXACT_CASE_SENSITIVE_SURFACE_TOKEN,2026-09-04,,,,,NONE_OR_NOT_ANNOTATED_IN_THIS_PASS,FULL_TOP50K_EXACT_LOOKUP_50000,,NOT_CALCULATED_DENOMINATOR_NOT_FIXED,SUBTITLE_AUDIOVISUAL,2018,OpenSubtitles2018 via FrequencyWords processing,CC BY-SA 4.0 content,ALLOWED_WITH_ATTRIBUTION_AND_SHAREALIKE_BOUNDARY,NONE_FREQUENCY_DOES_NOT_SET_LEVEL,QUANT_SIGNAL_AVAILABLE_NOT_YET_COMPOSITE_SCORED,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/es/es_50k.txt,https://raw.githubusercontent.com/hermitdave/FrequencyWords/refs/heads/master/content/2018/es/es_50k.txt,Full continuous top-50k exact surface sweep completed on 2026-09-04. Frequency is quantitative evidence only and does not set CEFR level.,1.32
12B1-ATOM-0006,acondicionado,ATOMIC_SURFACE_FORM,CORP-18,FrequencyWords / OpenSubtitles2018 Spanish 50k,FrequencyWords content/2018/es/es_50k.txt (OpenSubtitles2018-derived),SURFACE_SUBTITLE_OCCURRENCE_COUNT_AND_RANK,MEASURED_EXACT_SURFACE,3167,7895,FOUND_TOP50K,EXACT_CASE_SENSITIVE_SURFACE_TOKEN,2026-09-04,,,,,NONE_OR_NOT_ANNOTATED_IN_THIS_PASS,FULL_TOP50K_EXACT_LOOKUP_50000,,NOT_CALCULATED_DENOMINATOR_NOT_FIXED,SUBTITLE_AUDIOVISUAL,2018,OpenSubtitles2018 via FrequencyWords processing,CC BY-SA 4.0 content,ALLOWED_WITH_ATTRIBUTION_AND_SHAREALIKE_BOUNDARY,NONE_FREQUENCY_DOES_NOT_SET_LEVEL,QUANT_SIGNAL_AVAILABLE_NOT_YET_COMPOSITE_SCORED,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/es/es_50k.txt,https://raw.githubusercontent.com/hermitdave/FrequencyWords/refs/heads/master/content/2018/es/es_50k.txt,Full continuous top-50k exact surface sweep completed on 2026-09-04. Frequency is quantitative evidence only and does not set CEFR level.,1.32
12B1-ATOM-0007,actividad,ATOMIC_SURFACE_FORM,CORP-18,FrequencyWords / OpenSubtitles2018 Spanish 50k,FrequencyWords content/2018/es/es_50k.txt (OpenSubtitles2018-derived),SURFACE_SUBTITLE_OCCURRENCE_COUNT_AND_RANK,MEASURED_EXACT_SURFACE,8392,3612,FOUND_TOP50K,EXACT_CASE_SENSITIVE_SURFACE_TOKEN,2026-09-04,,,,,NONE_OR_NOT_ANNOTATED_IN_THIS_PASS,FULL_TOP50K_EXACT_LOOKUP_50000,,NOT_CALCULATED_DENOMINATOR_NOT_FIXED,SUBTITLE_AUDIOVISUAL,2018,OpenSubtitles2018 via FrequencyWords processing,CC BY-SA 4.0 content,ALLOWED_WITH_ATTRIBUTION_AND_SHAREALIKE_BOUNDARY,NONE_FREQUENCY_DOES_NOT_SET_LEVEL,QUANT_SIGNAL_AVAILABLE_NOT_YET_COMPOSITE_SCORED,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/es/es_50k.txt,https://raw.githubusercontent.com/hermitdave/FrequencyWords/refs/heads/master/content/2018/es/es_50k.txt,Full continuous top-50k exact surface sweep completed on 2026-09-04. Frequency is quantitative evidence only and does not set CEFR level.,1.32
12B1-ATOM-0008,actor,ATOMIC_SURFACE_FORM,CORP-18,FrequencyWords / OpenSubtitles2018 Spanish 50k,FrequencyWords content/2018/es/es_50k.txt (OpenSubtitles2018-derived),SURFACE_SUBTITLE_OCCURRENCE_COUNT_AND_RANK,MEASURED_EXACT_SURFACE,11282,2828,FOUND_TOP50K,EXACT_CASE_SENSITIVE_SURFACE_TOKEN,2026-09-04,,,,,NONE_OR_NOT_ANNOTATED_IN_THIS_PASS,FULL_TOP50K_EXACT_LOOKUP_50000,,NOT_CALCULATED_DENOMINATOR_NOT_FIXED,SUBTITLE_AUDIOVISUAL,2018,OpenSubtitles2018 via FrequencyWords processing,CC BY-SA 4.0 content,ALLOWED_WITH_ATTRIBUTION_AND_SHAREALIKE_BOUNDARY,NONE_FREQUENCY_DOES_NOT_SET_LEVEL,QUANT_SIGNAL_AVAILABLE_NOT_YET_COMPOSITE_SCORED,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/es/es_50k.txt,https://raw.githubusercontent.com/hermitdave/FrequencyWords/refs/heads/master/content/2018/es/es_50k.txt,Full continuous top-50k exact surface sweep completed on 2026-09-04. Frequency is quantitative evidence only and does not set CEFR level.,1.32
12B1-ATOM-0009,actriz,ATOMIC_SURFACE_FORM,CORP-18,FrequencyWords / OpenSubtitles2018 Spanish 50k,FrequencyWords content/2018/es/es_50k.txt (OpenSubtitles2018-derived),SURFACE_SUBTITLE_OCCURRENCE_COUNT_AND_RANK,MEASURED_EXACT_SURFACE,8190,3687,FOUND_TOP50K,EXACT_CASE_SENSITIVE_SURFACE_TOKEN,2026-09-04,,,,,NONE_OR_NOT_ANNOTATED_IN_THIS_PASS,FULL_TOP50K_EXACT_LOOKUP_50000,,NOT_CALCULATED_DENOMINATOR_NOT_FIXED,SUBTITLE_AUDIOVISUAL,2018,OpenSubtitles2018 via FrequencyWords processing,CC BY-SA 4.0 content,ALLOWED_WITH_ATTRIBUTION_AND_SHAREALIKE_BOUNDARY,NONE_FREQUENCY_DOES_NOT_SET_LEVEL,QUANT_SIGNAL_AVAILABLE_NOT_YET_COMPOSITE_SCORED,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/es/es_50k.txt,https://raw.githubusercontent.com/hermitdave/FrequencyWords/refs/heads/master/content/2018/es/es_50k.txt,Full continuous top-50k exact surface sweep completed on 2026-09-04. Frequency is quantitative evidence only and does not set CEFR level.,1.32
12B1-ATOM-0010,acá,ATOMIC_SURFACE_FORM,CORP-18,FrequencyWords / OpenSubtitles2018 Spanish 50k,FrequencyWords content/2018/es/es_50k.txt (OpenSubtitles2018-derived),SURFACE_SUBTITLE_OCCURRENCE_COUNT_AND_RANK,MEASURED_EXACT_SURFACE,41151,896,FOUND_TOP50K,EXACT_CASE_SENSITIVE_SURFACE_TOKEN,2026-09-04,,,,,REGIONAL_VARIANT_ALREADY_PRESENT_PCIC,FULL_TOP50K_EXACT_LOOKUP_50000,,NOT_CALCULATED_DENOMINATOR_NOT_FIXED,SUBTITLE_AUDIOVISUAL,2018,OpenSubtitles2018 via FrequencyWords processing,CC BY-SA 4.0 content,ALLOWED_WITH_ATTRIBUTION_AND_SHAREALIKE_BOUNDARY,NONE_FREQUENCY_DOES_NOT_SET_LEVEL,QUANT_SIGNAL_AVAILABLE_NOT_YET_COMPOSITE_SCORED,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/es/es_50k.txt,https://raw.githubusercontent.com/hermitdave/FrequencyWords/refs/heads/master/content/2018/es/es_50k.txt,Full continuous top-50k exact surface sweep completed on 2026-09-04. Frequency is quantitative evidence only and does not set CEFR level.,1.32
