record_id,record_type,item,object_type,source_id,source_name,corpus_register,geographic_scope,frequency_dimension,measurement_status,raw_value,normalized_value,unit,license_or_terms_status,commercial_ingest_status,provenance_risk,level_effect,priority_use,notes,source_url,curriculum_version
FREQ-ATOM-0001,ITEM_SCAFFOLD,a,ATOMIC_SURFACE_FORM,,,,,MULTI_SOURCE_PENDING,PENDING_12B_EXTERNAL_INGEST,,,,,NOT_YET_CLEARED_PER_MEASUREMENT,,NONE,FUTURE_WITHIN_A1_ORDERING_ONLY,Origin=PHASE6_BASE. Exact surface scaffold reconstructed from audited 572 baseline + v1.10–v1.12 corrections - instrumento + 17 Phase-7C regional additions.,,1.30
FREQ-ATOM-0002,ITEM_SCAFFOLD,abierto,ATOMIC_SURFACE_FORM,,,,,MULTI_SOURCE_PENDING,PENDING_12B_EXTERNAL_INGEST,,,,,NOT_YET_CLEARED_PER_MEASUREMENT,,NONE,FUTURE_WITHIN_A1_ORDERING_ONLY,Origin=PHASE6_BASE. Exact surface scaffold reconstructed from audited 572 baseline + v1.10–v1.12 corrections - instrumento + 17 Phase-7C regional additions.,,1.30
FREQ-ATOM-0003,ITEM_SCAFFOLD,abogado,ATOMIC_SURFACE_FORM,,,,,MULTI_SOURCE_PENDING,PENDING_12B_EXTERNAL_INGEST,,,,,NOT_YET_CLEARED_PER_MEASUREMENT,,NONE,FUTURE_WITHIN_A1_ORDERING_ONLY,Origin=PHASE6_BASE. Exact surface scaffold reconstructed from audited 572 baseline + v1.10–v1.12 corrections - instrumento + 17 Phase-7C regional additions.,,1.30
FREQ-ATOM-0004,ITEM_SCAFFOLD,abrir,ATOMIC_SURFACE_FORM,,,,,MULTI_SOURCE_PENDING,PENDING_12B_EXTERNAL_INGEST,,,,,NOT_YET_CLEARED_PER_MEASUREMENT,,NONE,FUTURE_WITHIN_A1_ORDERING_ONLY,Origin=PHASE6_BASE. Exact surface scaffold reconstructed from audited 572 baseline + v1.10–v1.12 corrections - instrumento + 17 Phase-7C regional additions.,,1.30
FREQ-ATOM-0005,ITEM_SCAFFOLD,abuelo,ATOMIC_SURFACE_FORM,,,,,MULTI_SOURCE_PENDING,PENDING_12B_EXTERNAL_INGEST,,,,,NOT_YET_CLEARED_PER_MEASUREMENT,,NONE,FUTURE_WITHIN_A1_ORDERING_ONLY,Origin=PHASE6_BASE. Exact surface scaffold reconstructed from audited 572 baseline + v1.10–v1.12 corrections - instrumento + 17 Phase-7C regional additions.,,1.30
FREQ-ATOM-0006,ITEM_SCAFFOLD,acondicionado,ATOMIC_SURFACE_FORM,,,,,MULTI_SOURCE_PENDING,PENDING_12B_EXTERNAL_INGEST,,,,,NOT_YET_CLEARED_PER_MEASUREMENT,,NONE,FUTURE_WITHIN_A1_ORDERING_ONLY,Origin=PHASE6_BASE. Exact surface scaffold reconstructed from audited 572 baseline + v1.10–v1.12 corrections - instrumento + 17 Phase-7C regional additions.,,1.30
FREQ-ATOM-0007,ITEM_SCAFFOLD,actividad,ATOMIC_SURFACE_FORM,,,,,MULTI_SOURCE_PENDING,PENDING_12B_EXTERNAL_INGEST,,,,,NOT_YET_CLEARED_PER_MEASUREMENT,,NONE,FUTURE_WITHIN_A1_ORDERING_ONLY,Origin=PHASE6_BASE. Exact surface scaffold reconstructed from audited 572 baseline + v1.10–v1.12 corrections - instrumento + 17 Phase-7C regional additions.,,1.30
FREQ-ATOM-0008,ITEM_SCAFFOLD,actor,ATOMIC_SURFACE_FORM,,,,,MULTI_SOURCE_PENDING,PENDING_12B_EXTERNAL_INGEST,,,,,NOT_YET_CLEARED_PER_MEASUREMENT,,NONE,FUTURE_WITHIN_A1_ORDERING_ONLY,Origin=PHASE6_BASE. Exact surface scaffold reconstructed from audited 572 baseline + v1.10–v1.12 corrections - instrumento + 17 Phase-7C regional additions.,,1.30
FREQ-ATOM-0009,ITEM_SCAFFOLD,actriz,ATOMIC_SURFACE_FORM,,,,,MULTI_SOURCE_PENDING,PENDING_12B_EXTERNAL_INGEST,,,,,NOT_YET_CLEARED_PER_MEASUREMENT,,NONE,FUTURE_WITHIN_A1_ORDERING_ONLY,Origin=PHASE6_BASE. Exact surface scaffold reconstructed from audited 572 baseline + v1.10–v1.12 corrections - instrumento + 17 Phase-7C regional additions.,,1.30
FREQ-ATOM-0010,ITEM_SCAFFOLD,acá,ATOMIC_SURFACE_FORM,,,,,MULTI_SOURCE_PENDING,PENDING_12B_EXTERNAL_INGEST,,,,,NOT_YET_CLEARED_PER_MEASUREMENT,,NONE,FUTURE_WITHIN_A1_ORDERING_ONLY,Origin=PHASE6_BASE. Exact surface scaffold reconstructed from audited 572 baseline + v1.10–v1.12 corrections - instrumento + 17 Phase-7C regional additions.,,1.30
FREQ-ATOM-0011,ITEM_SCAFFOLD,adiós,ATOMIC_SURFACE_FORM,,,,,MULTI_SOURCE_PENDING,PENDING_12B_EXTERNAL_INGEST,,,,,NOT_YET_CLEARED_PER_MEASUREMENT,,NONE,FUTURE_WITHIN_A1_ORDERING_ONLY,Origin=PHASE6_BASE. Exact surface scaffold reconstructed from audited 572 baseline + v1.10–v1.12 corrections - instrumento + 17 Phase-7C regional additions.,,1.30
FREQ-ATOM-0012,ITEM_SCAFFOLD,aeropuerto,ATOMIC_SURFACE_FORM,,,,,MULTI_SOURCE_PENDING,PENDING_12B_EXTERNAL_INGEST,,,,,NOT_YET_CLEARED_PER_MEASUREMENT,,NONE,FUTURE_WITHIN_A1_ORDERING_ONLY,Origin=PHASE6_BASE. Exact surface scaffold reconstructed from audited 572 baseline + v1.10–v1.12 corrections - instrumento + 17 Phase-7C regional additions.,,1.30
FREQ-ATOM-0013,ITEM_SCAFFOLD,agua,ATOMIC_SURFACE_FORM,,,,,MULTI_SOURCE_PENDING,PENDING_12B_EXTERNAL_INGEST,,,,,NOT_YET_CLEARED_PER_MEASUREMENT,,NONE,FUTURE_WITHIN_A1_ORDERING_ONLY,Origin=PHASE6_BASE. Exact surface scaffold reconstructed from audited 572 baseline + v1.10–v1.12 corrections - instrumento + 17 Phase-7C regional additions.,,1.30
