record_id,item,object_type,measurement_source_id,measurement_source_name,source_version,measurement_dimension,measurement_status,raw_occurrence_count,rank_in_top50k,top50k_match_status,matching_method,consulted_at,normalization_candidate,normalization_candidate_raw_occurrence_count,normalization_candidate_rank_in_top50k,normalization_review_reason,curricular_variant_status,scan_verified_through_rank,normalized_frequency,normalized_frequency_unit,source_register,source_year,source_data_origin,license,commercial_use_status,level_effect,priority_effect_status,source_url,evidence_url,notes,curriculum_version,phase14_row_type,phase14_id,curriculum_layer,curriculum_inclusion,normalization_action,canonical_form_target,form_relation_type,staging_identity_key,lexeme_candidate_status,engine_pos,lexical_category,sense_key,sense_curriculum_status,source_assertion_policy,variant_relation_type,regional_concept_anchor,split_parent_surface,review_gate,lexeme_id,sense_id,lexical_verification_source,phase14_notes,phase14c_status,functional_paradigm_id,functional_paradigm_class,paradigm_anchor,paradigm_form_features,function_word_engine_policy,occurrence_role_policy,independent_a1_assertion_status,source_assertion_scope_type,source_assertion_scope_key,a2_boundary_scope_key,mwu_object_class,mwu_subtype,mwu_frame_key,mwu_identity_policy,mwu_classification_confidence,phase14c_evidence_basis,phase14d_status,lexeme_key,lexeme_type_final,canonical_lemma_final,lexeme_release,lexeme_target_ids,sense_target_ids,form_id,form_origin,form_surface,form_features_final,sense_status_final,sense_scope_final,identity_publication_policy,lineage_status
12B1-ATOM-0001,a,ATOMIC_SURFACE_FORM,CORP-18,FrequencyWords / OpenSubtitles2018 Spanish 50k,FrequencyWords content/2018/es/es_50k.txt (OpenSubtitles2018-derived),SURFACE_SUBTITLE_OCCURRENCE_COUNT_AND_RANK,MEASURED_EXACT_SURFACE,9549646,4,FOUND_TOP50K,EXACT_CASE_SENSITIVE_SURFACE_TOKEN,2026-09-04,,,,,NONE_OR_NOT_ANNOTATED_IN_THIS_PASS,FULL_TOP50K_EXACT_LOOKUP_50000,,NOT_CALCULATED_DENOMINATOR_NOT_FIXED,SUBTITLE_AUDIOVISUAL,2018,OpenSubtitles2018 via FrequencyWords processing,CC BY-SA 4.0 content,ALLOWED_WITH_ATTRIBUTION_AND_SHAREALIKE_BOUNDARY,NONE_FREQUENCY_DOES_NOT_SET_LEVEL,QUANT_SIGNAL_AVAILABLE_NOT_YET_COMPOSITE_SCORED,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/es/es_50k.txt,https://raw.githubusercontent.com/hermitdave/FrequencyWords/refs/heads/master/content/2018/es/es_50k.txt,Full continuous top-50k exact surface sweep completed on 2026-09-04. Frequency is quantitative evidence only and does not set CEFR level.,1.37,INPUT_OBJECT,14A-IN-0001,PCIC_BASE_A1,A1_CORE_NORMATIVE,KEEP_STAGING_ANCHOR,a,,,STAGING_NOT_PUBLISHED,ADP,PREPOSITION,,,PRESERVE_AT_SOURCE_ASSERTION_OR_SENSE_SCOPE,,,,RESOLVED_FUNCTION_WORD_CLASS_14C,LEX-A1-000001,SENSE-A1-000001,,,RESOLVED_FUNCTION_WORD_CLASS,PAR-PREPOSITION-A1,PREPOSITION,a,,ENGINE_POS=ADP; EACH_PREPOSITION_KEEPS_LEXICAL_IDENTITY,PREPOSITIONAL_RELATION_BY_OCCURRENCE,,,,,,,,,,,PUBLISHED_INPUT_LINK,a,ATOMIC,a,A1-LEXICON-v1.37,LEX-A1-000001,SENSE-A1-000001,,,,,,,CURRICULUM_LOGICAL_ID; IMMUTABLE_AFTER_V1.37; DATABASE_PK_UNSPECIFIED,
12B1-ATOM-0002,abierto,ATOMIC_SURFACE_FORM,CORP-18,FrequencyWords / OpenSubtitles2018 Spanish 50k,FrequencyWords content/2018/es/es_50k.txt (OpenSubtitles2018-derived),SURFACE_SUBTITLE_OCCURRENCE_COUNT_AND_RANK,MEASURED_EXACT_SURFACE,19934,1714,FOUND_TOP50K,EXACT_CASE_SENSITIVE_SURFACE_TOKEN,2026-09-04,,,,,NONE_OR_NOT_ANNOTATED_IN_THIS_PASS,FULL_TOP50K_EXACT_LOOKUP_50000,,NOT_CALCULATED_DENOMINATOR_NOT_FIXED,SUBTITLE_AUDIOVISUAL,2018,OpenSubtitles2018 via FrequencyWords processing,CC BY-SA 4.0 content,ALLOWED_WITH_ATTRIBUTION_AND_SHAREALIKE_BOUNDARY,NONE_FREQUENCY_DOES_NOT_SET_LEVEL,QUANT_SIGNAL_AVAILABLE_NOT_YET_COMPOSITE_SCORED,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/es/es_50k.txt,https://raw.githubusercontent.com/hermitdave/FrequencyWords/refs/heads/master/content/2018/es/es_50k.txt,Full continuous top-50k exact surface sweep completed on 2026-09-04. Frequency is quantitative evidence only and does not set CEFR level.,1.37,INPUT_OBJECT,14A-IN-0002,PCIC_BASE_A1,A1_CORE_NORMATIVE,KEEP_STAGING_ANCHOR,abierto,,,STAGING_NOT_PUBLISHED,,,,,PRESERVE_AT_SOURCE_ASSERTION_OR_SENSE_SCOPE,,,,PUBLISHED_14D,LEX-A1-000007,SENSE-A1-000007,,,,,,,,,,,,,,,,,,,,PUBLISHED_INPUT_LINK,abierto,ATOMIC,abierto,A1-LEXICON-v1.37,LEX-A1-000007,SENSE-A1-000007,,,,,,,CURRICULUM_LOGICAL_ID; IMMUTABLE_AFTER_V1.37; DATABASE_PK_UNSPECIFIED,
12B1-ATOM-0003,abogado,ATOMIC_SURFACE_FORM,CORP-18,FrequencyWords / OpenSubtitles2018 Spanish 50k,FrequencyWords content/2018/es/es_50k.txt (OpenSubtitles2018-derived),SURFACE_SUBTITLE_OCCURRENCE_COUNT_AND_RANK,MEASURED_EXACT_SURFACE,48914,768,FOUND_TOP50K,EXACT_CASE_SENSITIVE_SURFACE_TOKEN,2026-09-04,,,,,NONE_OR_NOT_ANNOTATED_IN_THIS_PASS,FULL_TOP50K_EXACT_LOOKUP_50000,,NOT_CALCULATED_DENOMINATOR_NOT_FIXED,SUBTITLE_AUDIOVISUAL,2018,OpenSubtitles2018 via FrequencyWords processing,CC BY-SA 4.0 content,ALLOWED_WITH_ATTRIBUTION_AND_SHAREALIKE_BOUNDARY,NONE_FREQUENCY_DOES_NOT_SET_LEVEL,QUANT_SIGNAL_AVAILABLE_NOT_YET_COMPOSITE_SCORED,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/es/es_50k.txt,https://raw.githubusercontent.com/hermitdave/FrequencyWords/refs/heads/master/content/2018/es/es_50k.txt,Full continuous top-50k exact surface sweep completed on 2026-09-04. Frequency is quantitative evidence only and does not set CEFR level.,1.37,INPUT_OBJECT,14A-IN-0003,PCIC_BASE_A1,A1_CORE_NORMATIVE,KEEP_STAGING_ANCHOR,abogado,,,STAGING_NOT_PUBLISHED,,,,,PRESERVE_AT_SOURCE_ASSERTION_OR_SENSE_SCOPE,,,,PUBLISHED_14D,LEX-A1-000008,SENSE-A1-000008,,,,,,,,,,,,,,,,,,,,PUBLISHED_INPUT_LINK,abogado,ATOMIC,abogado,A1-LEXICON-v1.37,LEX-A1-000008,SENSE-A1-000008,,,,,,,CURRICULUM_LOGICAL_ID; IMMUTABLE_AFTER_V1.37; DATABASE_PK_UNSPECIFIED,
12B1-ATOM-0004,abrir,ATOMIC_SURFACE_FORM,CORP-18,FrequencyWords / OpenSubtitles2018 Spanish 50k,FrequencyWords content/2018/es/es_50k.txt (OpenSubtitles2018-derived),SURFACE_SUBTITLE_OCCURRENCE_COUNT_AND_RANK,MEASURED_EXACT_SURFACE,28090,1261,FOUND_TOP50K,EXACT_CASE_SENSITIVE_SURFACE_TOKEN,2026-09-04,,,,,NONE_OR_NOT_ANNOTATED_IN_THIS_PASS,FULL_TOP50K_EXACT_LOOKUP_50000,,NOT_CALCULATED_DENOMINATOR_NOT_FIXED,SUBTITLE_AUDIOVISUAL,2018,OpenSubtitles2018 via FrequencyWords processing,CC BY-SA 4.0 content,ALLOWED_WITH_ATTRIBUTION_AND_SHAREALIKE_BOUNDARY,NONE_FREQUENCY_DOES_NOT_SET_LEVEL,QUANT_SIGNAL_AVAILABLE_NOT_YET_COMPOSITE_SCORED,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/es/es_50k.txt,https://raw.githubusercontent.com/hermitdave/FrequencyWords/refs/heads/master/content/2018/es/es_50k.txt,Full continuous top-50k exact surface sweep completed on 2026-09-04. Frequency is quantitative evidence only and does not set CEFR level.,1.37,INPUT_OBJECT,14A-IN-0004,PCIC_BASE_A1,A1_CORE_NORMATIVE,KEEP_STAGING_ANCHOR,abrir,,,STAGING_NOT_PUBLISHED,,,,,PRESERVE_AT_SOURCE_ASSERTION_OR_SENSE_SCOPE,,,,PUBLISHED_14D,LEX-A1-000009,SENSE-A1-000009,,,,,,,,,,,,,,,,,,,,PUBLISHED_INPUT_LINK,abrir,ATOMIC,abrir,A1-LEXICON-v1.37,LEX-A1-000009,SENSE-A1-000009,,,,,,,CURRICULUM_LOGICAL_ID; IMMUTABLE_AFTER_V1.37; DATABASE_PK_UNSPECIFIED,
12B1-ATOM-0005,abuelo,ATOMIC_SURFACE_FORM,CORP-18,FrequencyWords / OpenSubtitles2018 Spanish 50k,FrequencyWords content/2018/es/es_50k.txt (OpenSubtitles2018-derived),SURFACE_SUBTITLE_OCCURRENCE_COUNT_AND_RANK,MEASURED_EXACT_SURFACE,37062,980,FOUND_TOP50K,EXACT_CASE_SENSITIVE_SURFACE_TOKEN,2026-09-04,,,,,NONE_OR_NOT_ANNOTATED_IN_THIS_PASS,FULL_TOP50K_EXACT_LOOKUP_50000,,NOT_CALCULATED_DENOMINATOR_NOT_FIXED,SUBTITLE_AUDIOVISUAL,2018,OpenSubtitles2018 via FrequencyWords processing,CC BY-SA 4.0 content,ALLOWED_WITH_ATTRIBUTION_AND_SHAREALIKE_BOUNDARY,NONE_FREQUENCY_DOES_NOT_SET_LEVEL,QUANT_SIGNAL_AVAILABLE_NOT_YET_COMPOSITE_SCORED,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/es/es_50k.txt,https://raw.githubusercontent.com/hermitdave/FrequencyWords/refs/heads/master/content/2018/es/es_50k.txt,Full continuous top-50k exact surface sweep completed on 2026-09-04. Frequency is quantitative evidence only and does not set CEFR level.,1.37,INPUT_OBJECT,14A-IN-0005,PCIC_BASE_A1,A1_CORE_NORMATIVE,KEEP_STAGING_ANCHOR,abuelo,,,STAGING_NOT_PUBLISHED,,,,,PRESERVE_AT_SOURCE_ASSERTION_OR_SENSE_SCOPE,,,,PUBLISHED_14D,LEX-A1-000010,SENSE-A1-000010,,,,,,,,,,,,,,,,,,,,PUBLISHED_INPUT_LINK,abuelo,ATOMIC,abuelo,A1-LEXICON-v1.37,LEX-A1-000010,SENSE-A1-000010,,,,,,,CURRICULUM_LOGICAL_ID; IMMUTABLE_AFTER_V1.37; DATABASE_PK_UNSPECIFIED,
12B1-ATOM-0006,acondicionado,ATOMIC_SURFACE_FORM,CORP-18,FrequencyWords / OpenSubtitles2018 Spanish 50k,FrequencyWords content/2018/es/es_50k.txt (OpenSubtitles2018-derived),SURFACE_SUBTITLE_OCCURRENCE_COUNT_AND_RANK,MEASURED_EXACT_SURFACE,3167,7895,FOUND_TOP50K,EXACT_CASE_SENSITIVE_SURFACE_TOKEN,2026-09-04,,,,,NONE_OR_NOT_ANNOTATED_IN_THIS_PASS,FULL_TOP50K_EXACT_LOOKUP_50000,,NOT_CALCULATED_DENOMINATOR_NOT_FIXED,SUBTITLE_AUDIOVISUAL,2018,OpenSubtitles2018 via FrequencyWords processing,CC BY-SA 4.0 content,ALLOWED_WITH_ATTRIBUTION_AND_SHAREALIKE_BOUNDARY,NONE_FREQUENCY_DOES_NOT_SET_LEVEL,QUANT_SIGNAL_AVAILABLE_NOT_YET_COMPOSITE_SCORED,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/es/es_50k.txt,https://raw.githubusercontent.com/hermitdave/FrequencyWords/refs/heads/master/content/2018/es/es_50k.txt,Full continuous top-50k exact surface sweep completed on 2026-09-04. Frequency is quantitative evidence only and does not set CEFR level.,1.37,INPUT_OBJECT,14A-IN-0006,PCIC_BASE_A1,A1_CORE_NORMATIVE,KEEP_STAGING_ANCHOR,acondicionado,,,STAGING_NOT_PUBLISHED,,,,,PRESERVE_AT_SOURCE_ASSERTION_OR_SENSE_SCOPE,,,,PUBLISHED_14D,LEX-A1-000012,SENSE-A1-000012,,,,,,,,,,,,,,,,,,,,PUBLISHED_INPUT_LINK,acondicionado,ATOMIC,acondicionado,A1-LEXICON-v1.37,LEX-A1-000012,SENSE-A1-000012,,,,,,,CURRICULUM_LOGICAL_ID; IMMUTABLE_AFTER_V1.37; DATABASE_PK_UNSPECIFIED,
12B1-ATOM-0007,actividad,ATOMIC_SURFACE_FORM,CORP-18,FrequencyWords / OpenSubtitles2018 Spanish 50k,FrequencyWords content/2018/es/es_50k.txt (OpenSubtitles2018-derived),SURFACE_SUBTITLE_OCCURRENCE_COUNT_AND_RANK,MEASURED_EXACT_SURFACE,8392,3612,FOUND_TOP50K,EXACT_CASE_SENSITIVE_SURFACE_TOKEN,2026-09-04,,,,,NONE_OR_NOT_ANNOTATED_IN_THIS_PASS,FULL_TOP50K_EXACT_LOOKUP_50000,,NOT_CALCULATED_DENOMINATOR_NOT_FIXED,SUBTITLE_AUDIOVISUAL,2018,OpenSubtitles2018 via FrequencyWords processing,CC BY-SA 4.0 content,ALLOWED_WITH_ATTRIBUTION_AND_SHAREALIKE_BOUNDARY,NONE_FREQUENCY_DOES_NOT_SET_LEVEL,QUANT_SIGNAL_AVAILABLE_NOT_YET_COMPOSITE_SCORED,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/es/es_50k.txt,https://raw.githubusercontent.com/hermitdave/FrequencyWords/refs/heads/master/content/2018/es/es_50k.txt,Full continuous top-50k exact surface sweep completed on 2026-09-04. Frequency is quantitative evidence only and does not set CEFR level.,1.37,INPUT_OBJECT,14A-IN-0007,PCIC_BASE_A1,A1_CORE_NORMATIVE,KEEP_STAGING_ANCHOR,actividad,,,STAGING_NOT_PUBLISHED,,,,,PRESERVE_AT_SOURCE_ASSERTION_OR_SENSE_SCOPE,,,,PUBLISHED_14D,LEX-A1-000013,SENSE-A1-000013,,,,,,,,,,,,,,,,,,,,PUBLISHED_INPUT_LINK,actividad,ATOMIC,actividad,A1-LEXICON-v1.37,LEX-A1-000013,SENSE-A1-000013,,,,,,,CURRICULUM_LOGICAL_ID; IMMUTABLE_AFTER_V1.37; DATABASE_PK_UNSPECIFIED,
12B1-ATOM-0008,actor,ATOMIC_SURFACE_FORM,CORP-18,FrequencyWords / OpenSubtitles2018 Spanish 50k,FrequencyWords content/2018/es/es_50k.txt (OpenSubtitles2018-derived),SURFACE_SUBTITLE_OCCURRENCE_COUNT_AND_RANK,MEASURED_EXACT_SURFACE,11282,2828,FOUND_TOP50K,EXACT_CASE_SENSITIVE_SURFACE_TOKEN,2026-09-04,,,,,NONE_OR_NOT_ANNOTATED_IN_THIS_PASS,FULL_TOP50K_EXACT_LOOKUP_50000,,NOT_CALCULATED_DENOMINATOR_NOT_FIXED,SUBTITLE_AUDIOVISUAL,2018,OpenSubtitles2018 via FrequencyWords processing,CC BY-SA 4.0 content,ALLOWED_WITH_ATTRIBUTION_AND_SHAREALIKE_BOUNDARY,NONE_FREQUENCY_DOES_NOT_SET_LEVEL,QUANT_SIGNAL_AVAILABLE_NOT_YET_COMPOSITE_SCORED,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/es/es_50k.txt,https://raw.githubusercontent.com/hermitdave/FrequencyWords/refs/heads/master/content/2018/es/es_50k.txt,Full continuous top-50k exact surface sweep completed on 2026-09-04. Frequency is quantitative evidence only and does not set CEFR level.,1.37,INPUT_OBJECT,14A-IN-0008,PCIC_BASE_A1,A1_CORE_NORMATIVE,KEEP_STAGING_ANCHOR,actor,,,STAGING_NOT_PUBLISHED,,,,,PRESERVE_AT_SOURCE_ASSERTION_OR_SENSE_SCOPE,,,,PUBLISHED_14D,LEX-A1-000014,SENSE-A1-000014,,,,,,,,,,,,,,,,,,,,PUBLISHED_INPUT_LINK,actor,ATOMIC,actor,A1-LEXICON-v1.37,LEX-A1-000014,SENSE-A1-000014,,,,,,,CURRICULUM_LOGICAL_ID; IMMUTABLE_AFTER_V1.37; DATABASE_PK_UNSPECIFIED,
12B1-ATOM-0009,actriz,ATOMIC_SURFACE_FORM,CORP-18,FrequencyWords / OpenSubtitles2018 Spanish 50k,FrequencyWords content/2018/es/es_50k.txt (OpenSubtitles2018-derived),SURFACE_SUBTITLE_OCCURRENCE_COUNT_AND_RANK,MEASURED_EXACT_SURFACE,8190,3687,FOUND_TOP50K,EXACT_CASE_SENSITIVE_SURFACE_TOKEN,2026-09-04,,,,,NONE_OR_NOT_ANNOTATED_IN_THIS_PASS,FULL_TOP50K_EXACT_LOOKUP_50000,,NOT_CALCULATED_DENOMINATOR_NOT_FIXED,SUBTITLE_AUDIOVISUAL,2018,OpenSubtitles2018 via FrequencyWords processing,CC BY-SA 4.0 content,ALLOWED_WITH_ATTRIBUTION_AND_SHAREALIKE_BOUNDARY,NONE_FREQUENCY_DOES_NOT_SET_LEVEL,QUANT_SIGNAL_AVAILABLE_NOT_YET_COMPOSITE_SCORED,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/es/es_50k.txt,https://raw.githubusercontent.com/hermitdave/FrequencyWords/refs/heads/master/content/2018/es/es_50k.txt,Full continuous top-50k exact surface sweep completed on 2026-09-04. Frequency is quantitative evidence only and does not set CEFR level.,1.37,INPUT_OBJECT,14A-IN-0009,PCIC_BASE_A1,A1_CORE_NORMATIVE,LINK_AS_LEXEME_FORM,actor,GENDER_FORM_LEXICAL_PARADIGM,FORM_OF:actor,PUBLISHED_FORM,,,,,PRESERVE_AT_SOURCE_ASSERTION_OR_SENSE_SCOPE,,,,RESOLVED_FORM_RELATION_14D,LEX-A1-000014,SENSE-A1-000014,https://dle.rae.es/actor,14D: feminine form linked to the same curriculum Lexeme as the paired masculine lemma.,,,,,,,,,,,,,,,,,,PUBLISHED_INPUT_LINK,actor,ATOMIC,actor,A1-LEXICON-v1.37,LEX-A1-000014,SENSE-A1-000014,,,,,,,CURRICULUM_LOGICAL_ID; IMMUTABLE_AFTER_V1.37; DATABASE_PK_UNSPECIFIED,
12B1-ATOM-0010,acá,ATOMIC_SURFACE_FORM,CORP-18,FrequencyWords / OpenSubtitles2018 Spanish 50k,FrequencyWords content/2018/es/es_50k.txt (OpenSubtitles2018-derived),SURFACE_SUBTITLE_OCCURRENCE_COUNT_AND_RANK,MEASURED_EXACT_SURFACE,41151,896,FOUND_TOP50K,EXACT_CASE_SENSITIVE_SURFACE_TOKEN,2026-09-04,,,,,REGIONAL_VARIANT_ALREADY_PRESENT_PCIC,FULL_TOP50K_EXACT_LOOKUP_50000,,NOT_CALCULATED_DENOMINATOR_NOT_FIXED,SUBTITLE_AUDIOVISUAL,2018,OpenSubtitles2018 via FrequencyWords processing,CC BY-SA 4.0 content,ALLOWED_WITH_ATTRIBUTION_AND_SHAREALIKE_BOUNDARY,NONE_FREQUENCY_DOES_NOT_SET_LEVEL,QUANT_SIGNAL_AVAILABLE_NOT_YET_COMPOSITE_SCORED,https://github.com/hermitdave/FrequencyWords/blob/master/content/2018/es/es_50k.txt,https://raw.githubusercontent.com/hermitdave/FrequencyWords/refs/heads/master/content/2018/es/es_50k.txt,Full continuous top-50k exact surface sweep completed on 2026-09-04. Frequency is quantitative evidence only and does not set CEFR level.,1.37,INPUT_OBJECT,14A-IN-0010,PCIC_BASE_A1,A1_CORE_NORMATIVE,KEEP_STAGING_ANCHOR,acá,,,STAGING_NOT_PUBLISHED,,,,,PRESERVE_AT_SOURCE_ASSERTION_OR_SENSE_SCOPE,,,,PUBLISHED_14D,LEX-A1-000011,SENSE-A1-000011,,,,,,,,,,,,,,,,,,,,PUBLISHED_INPUT_LINK,acá,ATOMIC,acá,A1-LEXICON-v1.37,LEX-A1-000011,SENSE-A1-000011,,,,,,,CURRICULUM_LOGICAL_ID; IMMUTABLE_AFTER_V1.37; DATABASE_PK_UNSPECIFIED,
