edge_id,target_type,target_id,introduction_story,return_stage,return_story,relation_scope,evidence_demand,expected_receptive,expected_productive,mastery_claim,notes
REC-A1-000001,SENSE,SENSE-A1-000015,A1-M01-I05-S1,FIRST_RETURN,A1-M01-I05-S2,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000002,SENSE,SENSE-A1-000015,A1-M01-I05-S1,SECOND_RETURN,A1-M01-I05-S3,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000003,SENSE,SENSE-A1-000015,A1-M01-I05-S1,THIRD_RETURN,A1-M02-I05-S3,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000004,SENSE,SENSE-A1-000133,A1-M01-I05-S1,FIRST_RETURN,A1-M01-I05-S2,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000005,SENSE,SENSE-A1-000133,A1-M01-I05-S1,SECOND_RETURN,A1-M01-I05-S3,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000006,SENSE,SENSE-A1-000133,A1-M01-I05-S1,THIRD_RETURN,A1-M02-I05-S3,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000007,SENSE,SENSE-A1-000208,A1-M01-I05-S1,FIRST_RETURN,A1-M01-I05-S2,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000008,SENSE,SENSE-A1-000208,A1-M01-I05-S1,SECOND_RETURN,A1-M01-I05-S3,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000009,SENSE,SENSE-A1-000208,A1-M01-I05-S1,THIRD_RETURN,A1-M02-I05-S3,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000010,SENSE,SENSE-A1-000217,A1-M01-I05-S1,FIRST_RETURN,A1-M01-I05-S2,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000011,SENSE,SENSE-A1-000217,A1-M01-I05-S1,SECOND_RETURN,A1-M01-I05-S3,SAME_ISLAND,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
REC-A1-000012,SENSE,SENSE-A1-000217,A1-M01-I05-S1,THIRD_RETURN,A1-M02-I05-S3,CROSS_MODULE,PRESERVE_TARGET_MODE_POLICY,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NONE,Return scheduling requirement; exposure is not mastery.
