assertion_envelope_id,target_type,target_id,target_item,lexeme_id,sense_id,source_record_id,asserted_curriculum_status,asserted_level,source_ids,source_urls,assertion_basis,source_resolution,source_level_relation,provenance_debt,scope_key,a2_boundary_scope_key,expected_receptive,expected_productive,formulaic_expectation,mode_class,mode_authority,mode_rationale,regional_scope,curriculum_version,publication_status,notes,source_assertion_id,record_type,evidence_role,source_id_single,source_url_single,historical_phase,historical_source_surface,derived_from_lexeme_id,derived_from_sense_id,derived_from_anchor,source_precision,final_publication_status
SA-STAGING-A1-000001,MWU_SOURCE_UNIT,12B1-MWU-0001,carné de conducir,LEX-A1-000108,SENSE-A1-000110,12B1-MWU-0001,A1_CORE_NORMATIVE,A1,PCIC-09,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,DIRECT_PCIC_PHASE6_MWU_LAYER,GRANULAR_SOURCE_RESOLVED,DIRECT_A1,NONE,carné de conducir,,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NO_DEFAULT,MWU_CONTEXTUAL_PRODUCTIVE_POLICY,SPANISHSTORIES_CONSERVATIVE_MODE_POLICY,A1 unit must be understood; productive use is activated by function/task/module context.,,1.40,STAGING_ASSERTION_ENVELOPE_NOT_FINAL_SOURCEASSERTION_ID,Source-unit assertion is kept even when the MWU is not a Lexeme.,,ASSERTION_ENVELOPE,,,,,,,,,,SUPERSEDED_BY_PUBLISHED_SOURCEASSERTIONS_V1.40
SA-STAGING-A1-000002,MWU_SOURCE_UNIT,12B1-MWU-0002,carné de identidad,LEX-A1-000109,SENSE-A1-000111,12B1-MWU-0002,A1_CORE_NORMATIVE,A1,PCIC-09,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,DIRECT_PCIC_PHASE6_MWU_LAYER,GRANULAR_SOURCE_RESOLVED,DIRECT_A1,NONE,carné de identidad,,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NO_DEFAULT,MWU_CONTEXTUAL_PRODUCTIVE_POLICY,SPANISHSTORIES_CONSERVATIVE_MODE_POLICY,A1 unit must be understood; productive use is activated by function/task/module context.,,1.40,STAGING_ASSERTION_ENVELOPE_NOT_FINAL_SOURCEASSERTION_ID,Source-unit assertion is kept even when the MWU is not a Lexeme.,,ASSERTION_ENVELOPE,,,,,,,,,,SUPERSEDED_BY_PUBLISHED_SOURCEASSERTIONS_V1.40
SA-STAGING-A1-000003,MWU_SOURCE_UNIT,12B1-MWU-0003,correo electrónico,LEX-A1-000161,SENSE-A1-000163,12B1-MWU-0003,A1_CORE_NORMATIVE,A1,PCIC-09,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,DIRECT_PCIC_PHASE6_MWU_LAYER,GRANULAR_SOURCE_RESOLVED,DIRECT_A1,NONE,correo electrónico,,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NO_DEFAULT,MWU_CONTEXTUAL_PRODUCTIVE_POLICY,SPANISHSTORIES_CONSERVATIVE_MODE_POLICY,A1 unit must be understood; productive use is activated by function/task/module context.,,1.40,STAGING_ASSERTION_ENVELOPE_NOT_FINAL_SOURCEASSERTION_ID,Source-unit assertion is kept even when the MWU is not a Lexeme.,,ASSERTION_ENVELOPE,,,,,,,,,,SUPERSEDED_BY_PUBLISHED_SOURCEASSERTIONS_V1.40
SA-STAGING-A1-000004,MWU_SOURCE_UNIT,12B1-MWU-0004,código postal,LEX-A1-000142,SENSE-A1-000144,12B1-MWU-0004,A1_CORE_NORMATIVE,A1,PCIC-09,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,DIRECT_PCIC_PHASE6_MWU_LAYER,GRANULAR_SOURCE_RESOLVED,DIRECT_A1,NONE,código postal,,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NO_DEFAULT,MWU_CONTEXTUAL_PRODUCTIVE_POLICY,SPANISHSTORIES_CONSERVATIVE_MODE_POLICY,A1 unit must be understood; productive use is activated by function/task/module context.,,1.40,STAGING_ASSERTION_ENVELOPE_NOT_FINAL_SOURCEASSERTION_ID,Source-unit assertion is kept even when the MWU is not a Lexeme.,,ASSERTION_ENVELOPE,,,,,,,,,,SUPERSEDED_BY_PUBLISHED_SOURCEASSERTIONS_V1.40
SA-STAGING-A1-000005,MWU_SOURCE_UNIT,12B1-MWU-0005,estado civil,LEX-A1-000231,SENSE-A1-000235,12B1-MWU-0005,A1_CORE_NORMATIVE,A1,PCIC-09,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,DIRECT_PCIC_PHASE6_MWU_LAYER,GRANULAR_SOURCE_RESOLVED,DIRECT_A1,NONE,estado civil,,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NO_DEFAULT,MWU_CONTEXTUAL_PRODUCTIVE_POLICY,SPANISHSTORIES_CONSERVATIVE_MODE_POLICY,A1 unit must be understood; productive use is activated by function/task/module context.,,1.40,STAGING_ASSERTION_ENVELOPE_NOT_FINAL_SOURCEASSERTION_ID,Source-unit assertion is kept even when the MWU is not a Lexeme.,,ASSERTION_ENVELOPE,,,,,,,,,,SUPERSEDED_BY_PUBLISHED_SOURCEASSERTIONS_V1.40
SA-STAGING-A1-000006,MWU_SOURCE_UNIT,12B1-MWU-0006,fecha de nacimiento,LEX-A1-000251,SENSE-A1-000255,12B1-MWU-0006,A1_CORE_NORMATIVE,A1,PCIC-09,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,DIRECT_PCIC_PHASE6_MWU_LAYER,GRANULAR_SOURCE_RESOLVED,DIRECT_A1,NONE,fecha de nacimiento,,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NO_DEFAULT,MWU_CONTEXTUAL_PRODUCTIVE_POLICY,SPANISHSTORIES_CONSERVATIVE_MODE_POLICY,A1 unit must be understood; productive use is activated by function/task/module context.,,1.40,STAGING_ASSERTION_ENVELOPE_NOT_FINAL_SOURCEASSERTION_ID,Source-unit assertion is kept even when the MWU is not a Lexeme.,,ASSERTION_ENVELOPE,,,,,,,,,,SUPERSEDED_BY_PUBLISHED_SOURCEASSERTIONS_V1.40
SA-STAGING-A1-000007,MWU_SOURCE_UNIT,12B1-MWU-0007,lugar de nacimiento,LEX-A1-000339,SENSE-A1-000345,12B1-MWU-0007,A1_CORE_NORMATIVE,A1,PCIC-09,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,DIRECT_PCIC_PHASE6_MWU_LAYER,GRANULAR_SOURCE_RESOLVED,DIRECT_A1,NONE,lugar de nacimiento,,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NO_DEFAULT,MWU_CONTEXTUAL_PRODUCTIVE_POLICY,SPANISHSTORIES_CONSERVATIVE_MODE_POLICY,A1 unit must be understood; productive use is activated by function/task/module context.,,1.40,STAGING_ASSERTION_ENVELOPE_NOT_FINAL_SOURCEASSERTION_ID,Source-unit assertion is kept even when the MWU is not a Lexeme.,,ASSERTION_ENVELOPE,,,,,,,,,,SUPERSEDED_BY_PUBLISHED_SOURCEASSERTIONS_V1.40
SA-STAGING-A1-000008,MWU_SOURCE_UNIT,12B1-MWU-0008,número de teléfono,,,12B1-MWU-0008,A1_CORE_NORMATIVE,A1,PCIC-09,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,DIRECT_PCIC_PHASE6_MWU_LAYER,GRANULAR_SOURCE_RESOLVED,DIRECT_A1,NONE,número de teléfono,,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NO_DEFAULT,MWU_CONTEXTUAL_PRODUCTIVE_POLICY,SPANISHSTORIES_CONSERVATIVE_MODE_POLICY,A1 unit must be understood; productive use is activated by function/task/module context.,,1.40,STAGING_ASSERTION_ENVELOPE_NOT_FINAL_SOURCEASSERTION_ID,Source-unit assertion is kept even when the MWU is not a Lexeme.,,ASSERTION_ENVELOPE,,,,,,,,,,SUPERSEDED_BY_PUBLISHED_SOURCEASSERTIONS_V1.40
SA-STAGING-A1-000009,MWU_SOURCE_UNIT,12B1-MWU-0009,tarjeta de crédito,LEX-A1-000537,SENSE-A1-000546,12B1-MWU-0009,A1_CORE_NORMATIVE,A1,PCIC-09,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,DIRECT_PCIC_PHASE6_MWU_LAYER,GRANULAR_SOURCE_RESOLVED,DIRECT_A1,NONE,tarjeta de crédito,,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NO_DEFAULT,MWU_CONTEXTUAL_PRODUCTIVE_POLICY,SPANISHSTORIES_CONSERVATIVE_MODE_POLICY,A1 unit must be understood; productive use is activated by function/task/module context.,,1.40,STAGING_ASSERTION_ENVELOPE_NOT_FINAL_SOURCEASSERTION_ID,Source-unit assertion is kept even when the MWU is not a Lexeme.,,ASSERTION_ENVELOPE,,,,,,,,,,SUPERSEDED_BY_PUBLISHED_SOURCEASSERTIONS_V1.40
SA-STAGING-A1-000010,MWU_SOURCE_UNIT,12B1-MWU-0010,agua con gas,LEX-A1-000018,SENSE-A1-000018,12B1-MWU-0010,A1_CORE_NORMATIVE,A1,PCIC-09,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,DIRECT_PCIC_PHASE6_MWU_LAYER,GRANULAR_SOURCE_RESOLVED,DIRECT_A1,NONE,agua con gas,,REQUIRED,CONTEXTUAL_OR_FUNCTION_BOUND,NO_DEFAULT,MWU_CONTEXTUAL_PRODUCTIVE_POLICY,SPANISHSTORIES_CONSERVATIVE_MODE_POLICY,A1 unit must be understood; productive use is activated by function/task/module context.,,1.40,STAGING_ASSERTION_ENVELOPE_NOT_FINAL_SOURCEASSERTION_ID,Source-unit assertion is kept even when the MWU is not a Lexeme.,,ASSERTION_ENVELOPE,,,,,,,,,,SUPERSEDED_BY_PUBLISHED_SOURCEASSERTIONS_V1.40
