story_id,module_id,module_name,island_id,global_island_order,island_name,story_order,story_title,story_role,scenario_brief,communicative_goal,genre_focus,planned_input_mode,first_intro_target_count,focus_first_intro_count,supported_first_intro_count,first_return_in_count,second_return_in_count,third_return_in_count,regional_receptive_return_in_count,new_target_policy,task_demand,known_token_coverage_policy,mastery_policy,status,notes,scheduled_relation_count,focus_guardrail,is_island_checkpoint,is_module_checkpoint,is_final_transfer_story,authoring_policy,dele_task_ids,required_modalities,revision_reason
A1-M01-I05-S1,M01,Contacto y supervivencia comunicativa,A1-M01-I05,1,Primeros contactos,1,Primer día en la escuela,NARRATIVE,Primer contacto presencial en un entorno educativo.,"Abrir y cerrar intercambios, saludar e identificarse.",story; dialogue; task; functional text as scenario requires,READ+LISTEN,33,8,25,0,0,0,0,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",33,PASS,NO,NO,NO,STANDARD,DELE-A1-L1,LISTENING,A1_RESTRUCTURE_103_TO_32
A1-M01-I05-S2,M01,Contacto y supervivencia comunicativa,A1-M01-I05,1,Primeros contactos,2,La ficha del grupo,NARRATIVE,Ficha del grupo con datos personales básicos.,Comprender y producir datos personales simples.,story; dialogue; task; functional text as scenario requires,READ+LISTEN+TASK_INTERACTION,18,18,0,33,0,0,0,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",51,PASS,NO,NO,NO,STANDARD,DELE-A1-O1,SPEAKING,A1_RESTRUCTURE_103_TO_32
A1-M01-I05-S3,M01,Contacto y supervivencia comunicativa,A1-M01-I05,1,Primeros contactos,3,Conocer a un compañero,NARRATIVE,Interacción para conocer y presentar a otra persona.,"Combinar identificación, procedencia y datos personales.",story; dialogue; task; functional text as scenario requires,READ+LISTEN+TASK_WRITING,54,18,36,18,33,0,0,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",105,PASS,NO,NO,NO,STANDARD,DELE-A1-W1,WRITING,A1_RESTRUCTURE_103_TO_32
A1-M01-I05-S4,M01,Contacto y supervivencia comunicativa,A1-M01-I05,1,Primeros contactos,4,No entiendo,NARRATIVE,Ruptura comunicativa y reparación mínima.,"Pedir repetición, confirmar, disculparse y agradecer.",story; dialogue; task; functional text as scenario requires,READ+LISTEN,23,12,11,54,18,0,0,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",95,PASS,YES,YES,NO,STANDARD,,,A1_RESTRUCTURE_103_TO_32
A1-M02-I05-S1,M02,Personas y entorno cercano,A1-M02-I05,2,Personas y perfiles,1,Una foto de familia,NARRATIVE,Foto familiar como soporte de relaciones personales.,"Expresar parentesco, posesión y relaciones.",story; dialogue; task; functional text as scenario requires,READ+LISTEN,45,15,30,23,54,0,1,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",122,PASS,NO,NO,NO,STANDARD,,,A1_RESTRUCTURE_103_TO_32
A1-M02-I05-S2,M02,Personas y entorno cercano,A1-M02-I05,2,Personas y perfiles,2,Así es Ana,NARRATIVE,Descripción básica de una persona.,Describir rasgos físicos y valoraciones simples.,story; dialogue; task; functional text as scenario requires,READ+LISTEN,49,17,32,45,0,18,0,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",112,PASS,NO,NO,NO,STANDARD,,,A1_RESTRUCTURE_103_TO_32
A1-M02-I05-S3,M02,Personas y entorno cercano,A1-M02-I05,2,Personas y perfiles,3,¿Quién es quién?,INTEGRATION,Tarea integrada de identificación de personas.,Recuperar relaciones y descripción para identificar personas.,story; dialogue; task; functional text as scenario requires,READ+LISTEN,0,0,0,49,23,33,2,NO_NEW_TARGETS,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",105,PASS,YES,NO,NO,STANDARD,DELE-A1-L3,LISTENING,A1_RESTRUCTURE_103_TO_32
A1-M02-I06-S1,M02,Personas y entorno cercano,A1-M02-I06,3,"Casa, estudio y trabajo",1,Mi apartamento,NARRATIVE,Descripción y localización en una vivienda.,Nombrar espacios/objetos y localizar elementos.,story; dialogue; task; functional text as scenario requires,READ+LISTEN,49,17,32,0,49,23,2,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",121,PASS,NO,NO,NO,STANDARD,,,A1_RESTRUCTURE_103_TO_32
A1-M02-I06-S2,M02,Personas y entorno cercano,A1-M02-I06,3,"Casa, estudio y trabajo",2,"Dos personas, dos actividades",NARRATIVE,Dos perfiles de estudio/profesión.,"Expresar estudio, profesión y actividad como identidad personal.",story; dialogue; task; functional text as scenario requires,READ+LISTEN,24,12,12,49,45,0,0,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",118,PASS,YES,YES,NO,STANDARD,,,A1_RESTRUCTURE_103_TO_32
A1-M03-I05-S1,M03,"Tiempo, rutina, estudio y trabajo",A1-M03-I05,4,Tiempo y rutina,1,Una cita a las diez,NARRATIVE,Cita con fecha y hora.,"Comprender y comunicar fecha, hora y referencias temporales.",story; dialogue; task; functional text as scenario requires,READ+LISTEN,37,19,18,24,49,54,0,FOCUS_AND_SUPPORTED,A1,MEASURE_CONTINUOUSLY_NO_UNIVERSAL_98_PERCENT_GATE,STORY_SUCCESS_IS_EVIDENCE_NOT_MASTERY,RELEASE_CANDIDATE_V1_51,"Blueprint defines scheduling/scenario intent, not final prose. Preserve SourceAssertion scope and target mode policy.",164,PASS,NO,NO,NO,STANDARD,,,A1_RESTRUCTURE_103_TO_32
