old_island,new_island,status
A1-M01-I01,B32-I01,PASS
A1-M01-I02,B32-I01,PASS
A1-M01-I03,B32-I01,PASS
A1-M01-I04,B32-I01,PASS
A1-M02-I01,B32-I02,PASS
A1-M02-I02,B32-I02,PASS
A1-M02-I03,B32-I03,PASS
A1-M02-I04,B32-I03,PASS
A1-M03-I01,B32-I04,PASS
A1-M03-I02,B32-I04,PASS
A1-M03-I03,B32-I05,PASS
A1-M03-I04,B32-I05,PASS
A1-M04-I01,B32-I06,PASS
A1-M04-I02,B32-I06,PASS
A1-M04-I03,B32-I06,PASS
A1-M04-I04,B32-I06,PASS
A1-M05-I01,B32-I07,PASS
A1-M05-I02,B32-I07,PASS
A1-M05-I03,B32-I07,PASS
A1-M05-I04,B32-I07,PASS
A1-M06-I01,B32-I08,PASS
A1-M06-I02,B32-I08,PASS
A1-M06-I03,B32-I08,PASS
A1-M06-I04,B32-I08,PASS
A1-M07-I01,B32-I09,PASS
A1-M07-I02,B32-I09,PASS
A1-M07-I03,B32-I09,PASS
A1-M07-I04,B32-I09,PASS
A1-M08-I01,B32-I10,PASS
A1-M08-I02,B32-I10,PASS
A1-M08-I03,B32-I11,PASS
A1-M08-I04,B32-I11,PASS
