story_id,story_title,dele_task_ids,required_modalities,required_task_capabilities,contract_status
B32-S01,Primer día en la escuela,DELE-A1-L1,LISTENING,LISTEN_VERY_SHORT_DIALOGUE,REQUIRED_FOR_RELEASE
B32-S02,La ficha del grupo,DELE-A1-O1,SPEAKING,SPEAK_PREPARED_PERSONAL_PRESENTATION,REQUIRED_FOR_RELEASE
B32-S03,Conocer a un compañero,DELE-A1-W1,WRITING,WRITE_COMPLETE_SIMPLE_FORM,REQUIRED_FOR_RELEASE
B32-S07,¿Quién es quién?,DELE-A1-L3,LISTENING,LISTEN_SEGMENTED_MONOLOGUE,REQUIRED_FOR_RELEASE
B32-S12,Hoy cambia el horario,DELE-A1-R2,READING,READ_MINIMAL_FUNCTIONAL_TEXTS,REQUIRED_FOR_RELEASE
B32-S13,En clase,DELE-A1-R2,READING,READ_MINIMAL_FUNCTIONAL_TEXTS,REQUIRED_FOR_RELEASE
B32-S17,Necesito información,DELE-A1-R4;DELE-A1-L2,LISTENING;READING,READ_CONCRETE_PUBLIC_INFORMATION;LISTEN_PUBLIC_MESSAGE_ANNOUNCEMENT,REQUIRED_FOR_RELEASE
B32-S18,Llegar a tiempo,DELE-A1-R2;DELE-A1-R4;DELE-A1-L2,LISTENING;READING,READ_MINIMAL_FUNCTIONAL_TEXTS;READ_CONCRETE_PUBLIC_INFORMATION;LISTEN_PUBLIC_MESSAGE_ANNOUNCEMENT,REQUIRED_FOR_RELEASE
B32-S20,En el restaurante,DELE-A1-L1;DELE-A1-L4,LISTENING,LISTEN_VERY_SHORT_DIALOGUE;LISTEN_EVERYDAY_CONVERSATION,REQUIRED_FOR_RELEASE
B32-S22,¿Qué te gusta?,DELE-A1-O2,SPEAKING,SPEAK_PREPARED_FAMILIAR_TOPIC,REQUIRED_FOR_RELEASE
B32-S23,Después de clase,DELE-A1-R3,READING,READ_INFORMATIONAL_PROMOTIONAL_MATERIAL,REQUIRED_FOR_RELEASE
B32-S24,El cumpleaños del sábado,DELE-A1-R1;DELE-A1-L4;DELE-A1-W2,LISTENING;READING;WRITING,READ_SHORT_PERSONAL_CORRESPONDENCE;LISTEN_EVERYDAY_CONVERSATION;WRITE_SHORT_PERSONAL_CORRESPONDENCE,REQUIRED_FOR_RELEASE
B32-S26,Buscar hotel,DELE-A1-R3,READING,READ_INFORMATIONAL_PROMOTIONAL_MATERIAL,REQUIRED_FOR_RELEASE
B32-S27,Mañana cambia el plan,DELE-A1-R1;DELE-A1-W2,READING;WRITING,READ_SHORT_PERSONAL_CORRESPONDENCE;WRITE_SHORT_PERSONAL_CORRESPONDENCE,REQUIRED_FOR_RELEASE
B32-S31,"Otra ciudad, otra información",DELE-A1-R3;DELE-A1-L3,LISTENING;READING,READ_INFORMATIONAL_PROMOTIONAL_MATERIAL;LISTEN_SEGMENTED_MONOLOGUE,REQUIRED_FOR_RELEASE
B32-S32,"Capstone: llegar, resolver y contar",DELE-A1-O3,SPEAKING,SPEAK_GUIDED_CONVERSATION,REQUIRED_FOR_RELEASE
