entity_type,editorial_key,canonical_id,module_id,status,historical_id_reused
ISLAND,B32-I01,A1-M01-I05,M01,NEW_ID,NO
ISLAND,B32-I02,A1-M02-I05,M02,NEW_ID,NO
ISLAND,B32-I03,A1-M02-I06,M02,NEW_ID,NO
ISLAND,B32-I04,A1-M03-I05,M03,NEW_ID,NO
ISLAND,B32-I05,A1-M03-I06,M03,NEW_ID,NO
ISLAND,B32-I06,A1-M04-I05,M04,NEW_ID,NO
ISLAND,B32-I07,A1-M05-I05,M05,NEW_ID,NO
ISLAND,B32-I08,A1-M06-I05,M06,NEW_ID,NO
ISLAND,B32-I09,A1-M07-I05,M07,NEW_ID,NO
ISLAND,B32-I10,A1-M08-I05,M08,NEW_ID,NO
ISLAND,B32-I11,A1-M08-I06,M08,NEW_ID,NO
STORY,B32-S01,A1-M01-I05-S1,M01,NEW_ID,NO
STORY,B32-S02,A1-M01-I05-S2,M01,NEW_ID,NO
STORY,B32-S03,A1-M01-I05-S3,M01,NEW_ID,NO
STORY,B32-S04,A1-M01-I05-S4,M01,NEW_ID,NO
STORY,B32-S05,A1-M02-I05-S1,M02,NEW_ID,NO
STORY,B32-S06,A1-M02-I05-S2,M02,NEW_ID,NO
STORY,B32-S07,A1-M02-I05-S3,M02,NEW_ID,NO
STORY,B32-S08,A1-M02-I06-S1,M02,NEW_ID,NO
STORY,B32-S09,A1-M02-I06-S2,M02,NEW_ID,NO
STORY,B32-S10,A1-M03-I05-S1,M03,NEW_ID,NO
STORY,B32-S11,A1-M03-I05-S2,M03,NEW_ID,NO
STORY,B32-S12,A1-M03-I05-S3,M03,NEW_ID,NO
STORY,B32-S13,A1-M03-I06-S1,M03,NEW_ID,NO
STORY,B32-S14,A1-M03-I06-S2,M03,NEW_ID,NO
STORY,B32-S15,A1-M04-I05-S1,M04,NEW_ID,NO
STORY,B32-S16,A1-M04-I05-S2,M04,NEW_ID,NO
STORY,B32-S17,A1-M04-I05-S3,M04,NEW_ID,NO
STORY,B32-S18,A1-M04-I05-S4,M04,NEW_ID,NO
STORY,B32-S19,A1-M05-I05-S1,M05,NEW_ID,NO
STORY,B32-S20,A1-M05-I05-S2,M05,NEW_ID,NO
STORY,B32-S21,A1-M05-I05-S3,M05,NEW_ID,NO
STORY,B32-S22,A1-M06-I05-S1,M06,NEW_ID,NO
STORY,B32-S23,A1-M06-I05-S2,M06,NEW_ID,NO
STORY,B32-S24,A1-M06-I05-S3,M06,NEW_ID,NO
STORY,B32-S25,A1-M07-I05-S1,M07,NEW_ID,NO
STORY,B32-S26,A1-M07-I05-S2,M07,NEW_ID,NO
STORY,B32-S27,A1-M07-I05-S3,M07,NEW_ID,NO
STORY,B32-S28,A1-M08-I05-S1,M08,NEW_ID,NO
STORY,B32-S29,A1-M08-I05-S2,M08,NEW_ID,NO
STORY,B32-S30,A1-M08-I06-S1,M08,NEW_ID,NO
STORY,B32-S31,A1-M08-I06-S2,M08,NEW_ID,NO
STORY,B32-S32,A1-M08-I06-S3,M08,NEW_ID,NO
