old_first_intro_story,old_story_title,etapa_c_action,inherited_target_count,new_story,primary_source,intro_salience,short_recycling_horizon,required_returns
A1-M01-I01-S1,Primer día en la escuela,RETAINED,8,B32-S01,YES,FOCUS,NO,3
A1-M01-I01-S2,Encuentro en el pasillo,MERGED,7,B32-S01,NO,SUPPORTED,NO,3
A1-M01-I02-S1,Una nueva compañera,MERGED,18,B32-S01,NO,SUPPORTED,NO,3
A1-M01-I02-S2,Presentar a un amigo,MERGED,18,B32-S03,NO,SUPPORTED,NO,3
A1-M01-I03-S1,Ficha de inscripción,RECOMPOSED,18,B32-S02,YES,FOCUS,NO,3
A1-M01-I03-S2,Conocer a un compañero,RETAINED,18,B32-S03,YES,FOCUS,NO,3
A1-M01-I03-S3,Datos de otra persona,MERGED,18,B32-S03,NO,SUPPORTED,NO,3
A1-M01-I04-S1,No entiendo la instrucción,RECOMPOSED,12,B32-S04,YES,FOCUS,NO,3
A1-M01-I04-S2,¿Puedes repetir?,MERGED,11,B32-S04,NO,SUPPORTED,NO,3
A1-M02-I01-S1,Mi familia,RECOMPOSED,15,B32-S05,YES,FOCUS,NO,3
A1-M02-I01-S2,Una foto distinta,MERGED,15,B32-S05,NO,SUPPORTED,NO,3
A1-M02-I01-S3,Otra familia,MERGED,15,B32-S05,NO,SUPPORTED,NO,3
A1-M02-I02-S1,Así es Ana,RETAINED,17,B32-S06,YES,FOCUS,NO,3
A1-M02-I02-S2,Dos perfiles,MERGED,16,B32-S06,NO,SUPPORTED,NO,3
A1-M02-I02-S3,Descripción en contexto,MERGED,16,B32-S06,NO,SUPPORTED,NO,3
A1-M02-I03-S1,Mi apartamento,RETAINED,17,B32-S08,YES,FOCUS,NO,3
A1-M02-I03-S2,Una casa diferente,MERGED,16,B32-S08,NO,SUPPORTED,NO,3
A1-M02-I03-S3,Una vivienda más,MERGED,16,B32-S08,NO,SUPPORTED,NO,3
A1-M02-I04-S1,¿A qué te dedicas?,MERGED,12,B32-S09,NO,SUPPORTED,NO,3
A1-M02-I04-S2,"Dos personas, dos actividades",RETAINED,12,B32-S09,YES,FOCUS,NO,3
A1-M03-I01-S1,Una cita a las diez,RETAINED,19,B32-S10,YES,FOCUS,NO,3
A1-M03-I01-S2,Cambio de horario,RECOMPOSED,18,B32-S12,YES,FOCUS,NO,3
A1-M03-I01-S3,Fecha y hora en otro contexto,MERGED,18,B32-S10,NO,SUPPORTED,NO,3
A1-M03-I02-S1,Un día normal,RETAINED,18,B32-S11,YES,FOCUS,NO,3
A1-M03-I02-S2,Hoy es diferente,MERGED,18,B32-S12,NO,SUPPORTED,NO,3
A1-M03-I03-S1,En clase,RETAINED,15,B32-S13,YES,FOCUS,NO,3
A1-M03-I03-S2,La actividad cambia,MERGED,15,B32-S13,NO,SUPPORTED,NO,3
A1-M03-I03-S3,Otra tarea de clase,MERGED,14,B32-S13,NO,SUPPORTED,NO,3
A1-M03-I04-S1,¿Sabes hacerlo?,RETAINED,6,B32-S14,YES,FOCUS,NO,3
A1-M03-I04-S2,Lo puedo hacer,MERGED,5,B32-S14,NO,SUPPORTED,NO,3
A1-M04-I01-S1,En el centro,RETAINED,20,B32-S15,YES,FOCUS,NO,3
A1-M04-I01-S2,Otro barrio,MERGED,19,B32-S15,NO,SUPPORTED,NO,3
A1-M04-I02-S1,Cómo llegar,RETAINED,15,B32-S16,YES,FOCUS,NO,3
A1-M04-I02-S2,Otra ruta,MERGED,15,B32-S16,NO,SUPPORTED,NO,3
A1-M04-I03-S1,Necesito información,RETAINED,12,B32-S17,YES,FOCUS,NO,3
A1-M04-I03-S2,Otra ventanilla,MERGED,12,B32-S17,NO,SUPPORTED,NO,3
A1-M04-I04-S1,Billete y horario,RECOMPOSED,15,B32-S18,YES,FOCUS,NO,3
A1-M04-I04-S2,Cambio de salida,MERGED,14,B32-S18,NO,SUPPORTED,NO,3
A1-M05-I01-S1,¿Qué comemos?,RETAINED,19,B32-S19,YES,FOCUS,NO,3
A1-M05-I01-S2,Otra comida,MERGED,19,B32-S19,NO,SUPPORTED,NO,3
A1-M05-I02-S1,En el restaurante,RETAINED,11,B32-S20,YES,FOCUS,NO,3
A1-M05-I02-S2,En otro local,MERGED,11,B32-S20,NO,SUPPORTED,NO,3
A1-M05-I03-S1,¿Cuánto cuesta?,MERGED,10,B32-S21,NO,SUPPORTED,NO,3
A1-M05-I03-S2,Otra tienda,MERGED,10,B32-S21,NO,SUPPORTED,NO,3
A1-M05-I04-S1,¿Cuál prefieres?,RECOMPOSED,19,B32-S21,YES,FOCUS,NO,3
A1-M05-I04-S2,Cambio de opción,MERGED,19,B32-S21,NO,SUPPORTED,NO,3
A1-M06-I01-S1,Me gusta,RECOMPOSED,12,B32-S22,YES,FOCUS,NO,3
A1-M06-I01-S2,No me gusta lo mismo,MERGED,12,B32-S22,NO,SUPPORTED,NO,3
A1-M06-I02-S1,Después de clase,RETAINED,16,B32-S23,YES,FOCUS,NO,3
A1-M06-I02-S2,Fin de semana,MERGED,16,B32-S23,NO,SUPPORTED,NO,3
A1-M06-I03-S1,¿Quieres venir?,MERGED,11,B32-S24,NO,SUPPORTED,NO,3
A1-M06-I03-S2,Otra invitación,MERGED,10,B32-S24,NO,SUPPORTED,NO,3
A1-M06-I04-S1,Cumpleaños,RECOMPOSED,8,B32-S24,YES,FOCUS,NO,3
A1-M06-I04-S2,Otra celebración,MERGED,7,B32-S24,NO,SUPPORTED,NO,3
A1-M07-I01-S1,Viaje en tren,RETAINED,14,B32-S25,YES,FOCUS,NO,3
A1-M07-I01-S2,Otro trayecto,MERGED,13,B32-S25,NO,SUPPORTED,NO,3
A1-M07-I02-S1,Buscar hotel,RETAINED,12,B32-S26,YES,FOCUS,NO,3
A1-M07-I02-S2,Otra habitación,MERGED,11,B32-S26,NO,SUPPORTED,NO,3
A1-M07-I03-S1,Hoy hace frío,MERGED,13,B32-S27,NO,SUPPORTED,NO,3
A1-M07-I03-S2,Mañana cambia,RECOMPOSED,12,B32-S27,YES,FOCUS,NO,3
A1-M07-I04-S1,Plan para mañana,MERGED,9,B32-S27,NO,SUPPORTED,NO,3
A1-M07-I04-S2,Cambio de plan,MERGED,9,B32-S27,NO,SUPPORTED,NO,3
A1-M08-I01-S1,¿Qué opinas?,RETAINED,16,B32-S28,YES,FOCUS,NO,3
A1-M08-I01-S2,Otra opinión,MERGED,15,B32-S28,NO,SUPPORTED,NO,3
A1-M08-I02-S1,"Sí, pero...",RETAINED,18,B32-S29,YES,FOCUS,NO,3
A1-M08-I02-S2,No estoy seguro,MERGED,17,B32-S29,NO,SUPPORTED,NO,3
A1-M08-I03-S1,Una ficha del mundo hispano,RETAINED,18,B32-S30,YES,FOCUS,YES,2
A1-M08-I03-S2,"Otra ciudad, otra información",RETAINED,18,B32-S31,YES,FOCUS,YES,1
A1-M08-I03-S3,Otra ficha informativa,MERGED,17,B32-S31,NO,SUPPORTED,YES,1
