record_id,domain,item,item_type,pos,source_id,source_section,source_level,record_type,a1_core_status,evidence_gate,baseline_action,false_intuitive_a1,context_restriction,notes,source_url,curriculum_version
7BVII-0001,Economía e industria,dinero,ATOMIC,NOUN,PCIC-09,15.1.1 Economía y dinero,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0002,Economía e industria,tarjeta,ATOMIC,NOUN,PCIC-09,15.1.1 Economía y dinero,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0003,Economía e industria,caro,ATOMIC,ADJ,PCIC-09,15.1.1 Economía y dinero,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0004,Economía e industria,barato,ATOMIC,ADJ,PCIC-09,15.1.1 Economía y dinero,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0005,Economía e industria,vendedor,ATOMIC,NOUN,PCIC-09,15.3.1 Transacciones comerciales y mercados,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0006,Economía e industria,comprador,ATOMIC,NOUN,PCIC-09,15.3.1 Transacciones comerciales y mercados,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0007,Economía e industria,comprar,ATOMIC,VERB,PCIC-09,15.3.1 Transacciones comerciales y mercados,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0008,Economía e industria,vender,ATOMIC,VERB,PCIC-09,15.3.1 Transacciones comerciales y mercados,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0009,Economía e industria,empresa,ATOMIC,NOUN,PCIC-09,15.4.1 Tipos de empresa y organización,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0010,Economía e industria,oficina,ATOMIC,NOUN,PCIC-09,15.4.1 Tipos de empresa y organización,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0011,Economía e industria,tienda,ATOMIC,NOUN,PCIC-09,15.4.1 Tipos de empresa y organización,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0012,Economía e industria,jefe,ATOMIC,NOUN,PCIC-09,15.4.1 Tipos de empresa y organización,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0013,Economía e industria,director,ATOMIC,NOUN,PCIC-09,15.4.1 Tipos de empresa y organización,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0014,Economía e industria,pescado,ATOMIC,NOUN,PCIC-09,15.5.3 Pesca,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0015,Economía e industria,cambiar dinero,MWU,MWU,PCIC-09,15.1.1 Economía y dinero,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0016,Economía e industria,pagar con tarjeta,MWU,MWU,PCIC-09,15.3.1 Transacciones comerciales y mercados,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0017,Economía e industria,cambiar,ATOMIC,VERB,PCIC-09,15.1.1 Economía y dinero,A1,A1_COMPONENT_IN_MWU,A1_FORM_IN_MWU,PCIC_A1_PATTERN_COMPONENT,KEEP,NO,La forma está atestiguada dentro de una realización A1; esta afirmación no autoriza todos sus sentidos o marcos sintácticos.,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0018,Economía e industria,pagar,ATOMIC,VERB,PCIC-09,15.3.1 Transacciones comerciales y mercados,A1,A1_COMPONENT_IN_MWU,A1_FORM_IN_MWU,PCIC_A1_PATTERN_COMPONENT,KEEP,NO,La forma está atestiguada dentro de una realización A1; esta afirmación no autoriza todos sus sentidos o marcos sintácticos.,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0019,"Gobierno, política y sociedad",país,ATOMIC,NOUN,PCIC-09,17.2.1 Instituciones políticas y órganos de gobierno,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0020,"Gobierno, política y sociedad",capital,ATOMIC,NOUN,PCIC-09,17.2.1 Instituciones políticas y órganos de gobierno,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0021,"Gobierno, política y sociedad",presidente,ATOMIC,NOUN,PCIC-09,17.2.1 Instituciones políticas y órganos de gobierno,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0022,"Gobierno, política y sociedad",rey,ATOMIC,NOUN,PCIC-09,17.2.1 Instituciones políticas y órganos de gobierno,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0023,"Gobierno, política y sociedad",reina,ATOMIC,NOUN,PCIC-09,17.2.1 Instituciones políticas y órganos de gobierno,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0024,"Gobierno, política y sociedad",abogado,ATOMIC,NOUN,PCIC-09,17.3 Ley y justicia,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0025,Religión y filosofía,religión,ATOMIC,NOUN,PCIC-09,19.1 Religión,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0026,Religión y filosofía,cristiano,ATOMIC,ADJ_NOUN,PCIC-09,19.1 Religión,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0027,Religión y filosofía,judío,ATOMIC,ADJ_NOUN,PCIC-09,19.1 Religión,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0028,Religión y filosofía,musulmán,ATOMIC,ADJ_NOUN,PCIC-09,19.1 Religión,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0029,Religión y filosofía,budista,ATOMIC,ADJ_NOUN,PCIC-09,19.1 Religión,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0030,Religión y filosofía,ir,ATOMIC,VERB,PCIC-09,19.1 Religión,A1,A1_COMPONENT_IN_PATTERN,A1_FORM_IN_MWU,PCIC_A1_PATTERN_COMPONENT,KEEP,NO,Atestiguado dentro de la serie A1 «ir a la iglesia/a la mezquita/a la sinagoga»; no generalizar automáticamente todos los usos.,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0031,Religión y filosofía,iglesia,ATOMIC,NOUN,PCIC-09,19.1 Religión,A1,A1_COMPONENT_IN_PATTERN,A1_FORM_IN_MWU,PCIC_A1_PATTERN_COMPONENT,KEEP,NO,Atestiguado dentro de la serie A1 «ir a la iglesia/a la mezquita/a la sinagoga»; no generalizar automáticamente todos los usos.,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0032,Religión y filosofía,mezquita,ATOMIC,NOUN,PCIC-09,19.1 Religión,A1,A1_COMPONENT_IN_PATTERN,A1_FORM_IN_MWU,PCIC_A1_PATTERN_COMPONENT,KEEP,NO,Atestiguado dentro de la serie A1 «ir a la iglesia/a la mezquita/a la sinagoga»; no generalizar automáticamente todos los usos.,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0033,Religión y filosofía,sinagoga,ATOMIC,NOUN,PCIC-09,19.1 Religión,A1,A1_COMPONENT_IN_PATTERN,A1_FORM_IN_MWU,PCIC_A1_PATTERN_COMPONENT,KEEP,NO,Atestiguado dentro de la serie A1 «ir a la iglesia/a la mezquita/a la sinagoga»; no generalizar automáticamente todos los usos.,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0034,Religión y filosofía,ir a la iglesia,MWU,MWU,PCIC-09,19.1 Religión,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
7BVII-0035,Religión y filosofía,ir a la mezquita,MWU,MWU,PCIC-09,19.1 Religión,A1,A1_INVENTORY,A1_CORE_NORMATIVE,PCIC_A1_EXPLICIT,KEEP,NO,,,https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm,v1.15
